year,coef,se,ci_low,ci_high,pval,pval_wbt
2017,0.006114106083425341,0.006404941183313147,-0.007623126503441203,0.019851338670291884,0.33978402729669455,0.23112311231123112
2018,0.002299503913331156,0.0055303466739692695,-0.009561910012568637,0.014160917839230947,0.6775582423544353,0.5916591659165916
2019,0.0,0.0,0.0,0.0,,
2022,0.01109177637006606,0.0045098856343812254,0.0014190336974134674,0.020764519042718654,0.013915539564307976,0.054405440544054405
2023,0.008988340752005382,0.005266247777425583,-0.002306637376293731,0.020283318880304498,0.08786244375970742,0.1421142114211421
2024,0.009501187724040511,0.002974123118760249,0.003122328050694947,0.015880047397386077,0.0014001595591030943,0.21882188218821882
2025,0.006761265217275825,0.005090018599098681,-0.004155738915325056,0.017678269349876707,0.1840664655977834,0.36403640364036405
