drgn2,exposure_value,rank,exposure_tercile,region_name,exposure_spec,label
62,-0.1673,15,high,Región de Murcia,exposure_cov_admin,baseline_2021_2025
61,-0.0955,16,high,Andalucía,exposure_cov_admin,baseline_2021_2025
42,-0.0692,17,high,Castilla-La Mancha,exposure_cov_admin,baseline_2021_2025
51,-5.125,1,low,Cataluña,exposure_exp_admin,baseline_2021_2025
43,-4.5811,2,low,Extremadura,exposure_exp_admin,baseline_2021_2025
22,-4.1138,3,low,Comunidad Foral de Navarra,exposure_exp_admin,baseline_2021_2025
21,-3.9824,4,low,País Vasco,exposure_exp_admin,baseline_2021_2025
12,-3.5314,5,low,Principado de Asturias,exposure_exp_admin,baseline_2021_2025
41,-3.193,6,low,Castilla y León,exposure_exp_admin,baseline_2021_2025
13,-3.1631,7,medium,Cantabria,exposure_exp_admin,baseline_2021_2025
30,-3.16,8,medium,Comunidad de Madrid,exposure_exp_admin,baseline_2021_2025
24,-3.1296,9,medium,Aragón,exposure_exp_admin,baseline_2021_2025
52,-2.5619,10,medium,Comunitat Valenciana,exposure_exp_admin,baseline_2021_2025
11,-2.5505,11,medium,Galicia,exposure_exp_admin,baseline_2021_2025
70,-2.4268,12,high,Canarias,exposure_exp_admin,baseline_2021_2025
23,-2.4077,13,high,La Rioja,exposure_exp_admin,baseline_2021_2025
61,-2.2945,14,high,Andalucía,exposure_exp_admin,baseline_2021_2025
42,-2.0167,15,high,Castilla-La Mancha,exposure_exp_admin,baseline_2021_2025
62,-1.7951,16,high,Región de Murcia,exposure_exp_admin,baseline_2021_2025
53,-1.4463,17,high,Illes Balears,exposure_exp_admin,baseline_2021_2025
