year,scenario,idhh,dwt,n_person_rows,combined_first,weighted_monthly_expenditure,expenditure_share,yds,bsa00_s_first,bsa00_s_maximum,bsa00_s_sum_all_rows,bsa00_s_sum_unique_positive,bsarg_s_first,bsarg_s_maximum,bsarg_s_sum_all_rows,bsarg_s_sum_unique_positive,bsa00_s_n_positive_rows,bsa00_s_n_unique_positive,bsarg_s_n_positive_rows,bsarg_s_n_unique_positive,imv_only_first,combined_maximum,imv_only_maximum,combined_sum_all_rows,imv_only_sum_all_rows,combined_sum_unique_positive,imv_only_sum_unique_positive
2017,imv_only_maximum,15113,968.37,2,,790596.6353999999,0.06937988196856959,1356.57,816.42,816.42,816.42,816.42,435.56,435.56,435.56,435.56,1,1,1,1,,,816.42,,,,
2017,imv_only_maximum,4325,798.07,2,,672381.9557,0.05900579212642321,1454.41,842.51,842.51,842.51,842.51,435.56,435.56,435.56,435.56,1,1,1,1,,,842.51,,,,
2017,imv_only_maximum,8334,878.53,2,,504460.7113,0.04426963515986482,2339.13,574.21,574.21,574.21,574.21,481.33,481.33,481.33,481.33,1,1,1,1,,,574.21,,,,
2017,imv_only_maximum,8231,1139.39,4,,405998.8387,0.03562897974405208,1450.51,0.0,356.33,356.33,356.33,0.0,131.95,131.95,131.95,1,1,1,1,,,356.33,,,,
2017,imv_only_maximum,4370,592.82,1,,322707.49520000006,0.028319634722478792,769.57,544.36,544.36,544.36,544.36,381.02,381.02,381.02,381.02,1,1,1,1,,,544.36,,,,
2017,imv_only_maximum,16618,1872.23,5,,321873.7816,0.02824647105269625,3145.93,0.0,171.92,171.92,171.92,0.0,0.0,0.0,0.0,1,1,0,0,,,171.92,,,,
2017,imv_only_maximum,8262,1274.41,1,,303131.16260000004,0.026601687055678662,1179.48,237.86,237.86,237.86,237.86,381.02,381.02,381.02,381.02,1,1,1,1,,,237.86,,,,
2017,imv_only_maximum,4354,935.6,5,,223299.652,0.01959596437131848,1955.22,0.0,238.67,238.67,238.67,0.0,0.0,0.0,0.0,1,1,0,0,,,238.67,,,,
2017,combined_sum_all_rows,11553,4095.99,6,,5427637.3089,0.1262842419160919,0.0,0.0,1325.11,1325.11,1325.11,0.0,0.0,0.0,0.0,1,1,0,0,,,,1325.11,,,
2017,combined_sum_all_rows,16578,3017.39,2,,3409650.6999999997,0.07933196883699607,1895.58,0.0,0.0,0.0,0.0,1130.0,1130.0,1130.0,1130.0,0,0,1,1,,,,1130.0,,,
2017,combined_sum_all_rows,15170,2373.85,1,,2088988.0,0.04860425465777441,630.0,0.0,0.0,0.0,0.0,880.0,880.0,880.0,880.0,0,0,1,1,,,,880.0,,,
