drgn2,year,pop,poor_hh_sim,rmi_exp_sim,imv_exp_sim,post_exp_sim,rmi_rec_sim,imv_rec_sim,post_rec_sim,rmi_mean_sim,imv_mean_sim,rmi_avg_benefit_sim,post_avg_benefit_sim,rmi_coverage_sim,post_coverage_sim,delta_benefit_sim_yr,delta_cov_sim_yr,delta_exp_sim_yr
21,2017,2144260.5700000003,92908.0,380841754.0,388981346.0,388981346.0,51521.0,38133.0,38133.0,616.0,850.05,7392.03,10200.62,0.554536,0.410441,2808.5904,-0.144095,3.796
21,2018,2148230.8600000003,93373.0,389069573.0,388640706.0,388640706.0,47602.0,37002.0,37002.0,681.12,875.27,8173.42,10503.19,0.509801,0.396282,2329.7637,-0.113519,-0.1996
21,2019,2156495.4299999997,95146.0,336635024.0,366486122.0,366486122.0,37201.0,37181.0,37181.0,754.1,821.41,9049.17,9856.9,0.390984,0.390774,807.734,-0.00021,13.8424
