year,region,drgn2,scenario,benefit_column,recipient_floor_monthly,poor_households_weighted,recipient_households_unweighted,recipient_households_weighted,coverage_among_poor_households,mean_monthly_benefit,mean_annual_benefit,effective_sample_size,weighted_p10,weighted_p25,weighted_median,weighted_p75,weighted_p90,weighted_p95,weighted_p99,top_1_expenditure_share,top_5_expenditure_share,top_10_expenditure_share
2017,País Vasco,21,combined_first,combined_first,10.0,92907.53,33,38133.09,0.41044132806027667,850.0520715604218,10200.624858725063,26.31194195767087,315.3366933471655,626.3920387206139,880.0,1127.347930587362,1189.7280886077142,1258.3445353101856,1340.5125977402995,0.10518707090305696,0.33889978788703495,0.5431565790424568
2017,País Vasco,21,imv_only_first,imv_only_first,10.0,92907.53,6,5815.47,0.06259417293732812,706.8719321912073,8482.463186294488,5.61738481841088,237.86,330.6431782834586,614.7234037093259,837.5867617188968,1020.7602468713314,1092.5751234356658,1150.0270246871332,0.36915377012537526,0.9262596782841691,1.0
2017,País Vasco,21,combined_maximum,combined_maximum,10.0,92907.53,41,50004.53,0.5382182692834477,859.5127194276199,10314.152633131438,30.623010643186525,210.77233833903367,618.3873309609937,880.0,1130.0,1282.6500603224129,1311.3636691349343,1350.520662703047,0.1262842419160919,0.3404504925329898,0.5153737946739523
2017,País Vasco,21,imv_only_maximum,imv_only_maximum,10.0,92907.53,11,15115.44,0.16269337910500903,753.8772043618974,9046.526452342769,7.6017140811889385,171.92,238.40734737067123,674.9160587542572,1176.8336665128577,1265.7994666051432,1295.4547333025714,1319.1789466605142,0.47630968688497244,0.817337627893911,0.9804040356286816
2017,País Vasco,21,combined_sum_all_rows,combined_sum_all_rows,10.0,92907.53,41,50004.53,0.5382182692834477,859.5127194276199,10314.152633131438,30.623010643186525,210.77233833903367,618.3873309609937,880.0,1130.0,1282.6500603224129,1311.3636691349343,1350.520662703047,0.1262842419160919,0.3404504925329898,0.5153737946739523
2017,País Vasco,21,imv_only_sum_all_rows,imv_only_sum_all_rows,10.0,92907.53,11,15115.44,0.16269337910500903,753.8772043618974,9046.526452342769,7.6017140811889385,171.92,238.40734737067123,674.9160587542572,1176.8336665128577,1265.7994666051432,1295.4547333025714,1319.1789466605142,0.47630968688497244,0.817337627893911,0.9804040356286816
2017,País Vasco,21,combined_sum_unique_positive,combined_sum_unique_positive,10.0,92907.53,41,50004.53,0.5382182692834477,859.5127194276199,10314.152633131438,30.623010643186525,210.77233833903367,618.3873309609937,880.0,1130.0,1282.6500603224129,1311.3636691349343,1350.520662703047,0.1262842419160919,0.3404504925329898,0.5153737946739523
2017,País Vasco,21,imv_only_sum_unique_positive,imv_only_sum_unique_positive,10.0,92907.53,11,15115.44,0.16269337910500903,753.8772043618974,9046.526452342769,7.6017140811889385,171.92,238.40734737067123,674.9160587542572,1176.8336665128577,1265.7994666051432,1295.4547333025714,1319.1789466605142,0.47630968688497244,0.817337627893911,0.9804040356286816
2018,País Vasco,21,combined_first,combined_first,10.0,93373.23000000001,32,37002.17,0.3962824248448939,875.2655732731351,10503.186879277622,20.48647647696554,248.3982541621877,700.3652558489192,880.0,1122.3051845805837,1130.0,1253.774255120613,1327.5924815910048,0.14552584806875069,0.41692956689020116,0.6535984394703755
2018,País Vasco,21,imv_only_first,imv_only_first,10.0,93373.23000000001,6,7442.03,0.07970196597033218,541.3963716217215,6496.756459460658,4.319329455791377,180.84,181.8193521926598,576.0626197080179,632.4792997328971,694.442805038783,790.6464025193915,867.6092805038783,0.36084546958185176,0.9637669207103956,0.9999999999999999
2018,País Vasco,21,combined_maximum,combined_maximum,10.0,93373.23000000001,39,42461.13000000001,0.4547462907730621,840.7326173655762,10088.791408386915,24.818430749220944,176.76245737317896,606.678345213904,880.0,1122.3027707651713,1164.646395409079,1250.0,1325.984761906079,0.13202547396159417,0.37825117948308373,0.592964376410079
2018,País Vasco,21,imv_only_maximum,imv_only_maximum,10.0,93373.23000000001,8,10055.849999999999,0.10769521414221182,435.3419619326065,5224.103543191279,6.019587501754464,127.42,144.895492651219,554.28,607.4699912891181,665.1992582580085,756.8573843124285,860.8514768624857,0.33210751094388247,0.8922966232966719,0.9999999999999998
2018,País Vasco,21,combined_sum_all_rows,combined_sum_all_rows,10.0,93373.23000000001,39,42461.13000000001,0.4547462907730621,840.7326173655762,10088.791408386915,24.818430749220944,176.76245737317896,606.678345213904,880.0,1122.3027707651713,1164.646395409079,1250.0,1325.984761906079,0.13202547396159417,0.37825117948308373,0.592964376410079
2018,País Vasco,21,imv_only_sum_all_rows,imv_only_sum_all_rows,10.0,93373.23000000001,8,10055.849999999999,0.10769521414221182,435.3419619326065,5224.103543191279,6.019587501754464,127.42,144.895492651219,554.28,607.4699912891181,665.1992582580085,756.8573843124285,860.8514768624857,0.33210751094388247,0.8922966232966719,0.9999999999999998
2018,País Vasco,21,combined_sum_unique_positive,combined_sum_unique_positive,10.0,93373.23000000001,39,42461.13000000001,0.4547462907730621,840.7326173655762,10088.791408386915,24.818430749220944,176.76245737317896,606.678345213904,880.0,1122.3027707651713,1164.646395409079,1250.0,1325.984761906079,0.13202547396159417,0.37825117948308373,0.592964376410079
