year,drgn2,region,benefit_component,n_households,n_first_recipients,n_max_recipients,recipient_count_difference,weighted_first_recipients,weighted_max_recipients,weighted_recipient_difference,mean_first_monthly,mean_max_monthly,mean_monthly_difference,households_first_below_max,households_multiple_positive_rows,households_multiple_distinct_positive,weighted_recipient_pct_difference,material_difference
2019,63,Ciudad de Ceuta,bsarg_s,127,2,3,1,144.65,204.73000000000002,60.08000000000001,165.3053155893536,213.63656474380886,48.331249154455264,1,0,0,0.2934596786010844,True
2019,63,Ciudad de Ceuta,bsa00_s,127,4,7,3,811.14,1144.26,333.12,672.7197473925586,740.431018212644,67.71127082008536,3,0,0,0.2911226469508678,True
2019,61,Andalucía,bsa00_s,1838,39,55,16,76911.01,107828.22999999998,30917.219999999987,474.11776513791716,405.9852453091367,-68.13251982878046,16,0,0,0.28672658356721603,True
2018,42,Castilla-La Mancha,bsa00_s,607,15,20,5,13796.800000000001,19195.129999999997,5398.329999999996,355.8719639336658,358.71018495316264,2.838221019496814,5,0,0,0.28123435475560715,True
2018,51,Cataluña,bsa00_s,2798,31,42,11,36196.130000000005,50163.159999999996,13967.029999999992,361.69834606904107,342.9489140217642,-18.749432047276855,11,0,0,0.2784320206302791,True
2019,70,Canarias,bsa00_s,500,9,13,4,15535.220000000001,21307.88,5772.66,688.1527082268548,623.1426231844745,-65.0100850423803,4,0,0,0.270916674957809,True
2018,22,Comunidad Foral de Navarra,bsarg_s,349,14,20,6,9710.14,13236.93,3526.790000000001,619.9385588570299,585.0214027648404,-34.91715609218943,6,0,0,0.2664356463318912,True
2018,53,Illes Balears,bsa00_s,334,5,7,2,3618.69,4921.280000000001,1302.5900000000006,329.3752787334643,279.15875030479873,-50.21652842866558,2,0,0,0.26468520384940514,True
2017,51,Cataluña,bsa00_s,2952,35,47,12,33803.18,45898.81,12095.629999999997,417.43034533437384,355.43031079455,-62.000034539823844,12,0,0,0.2635281829746784,True
2018,21,País Vasco,bsa00_s,750,6,8,2,7442.03,10055.849999999999,2613.819999999999,541.3963716217215,435.3419619326065,-106.054409689115,2,0,0,0.25993028933406914,True
2019,13,Cantabria,bsa00_s,463,6,8,2,2967.3500000000004,3971.6600000000003,1004.31,413.1220325205991,326.12883784110426,-86.99319467949482,2,0,0,0.2528690774134744,True
2019,64,Ciudad de Melilla,bsa00_s,152,2,4,2,382.02,510.05000000000007,128.0300000000001,541.2787657714256,705.0718555043621,163.79308973293655,2,0,0,0.2510146064111363,True
2019,21,País Vasco,bsarg_s,871,37,46,9,36403.52,48050.50999999999,11646.98999999999,711.9242823248961,650.2351937867052,-61.68908853819096,9,0,0,0.24239055943422855,True
2018,24,Aragón,bsa00_s,495,5,6,1,4534.299999999999,5980.75,1446.4500000000007,399.0953516529564,338.2395242235506,-60.85582742940585,1,0,0,0.24185093842745486,True
2019,11,Galicia,bsa00_s,869,21,27,6,21083.9,27315.37,6231.4699999999975,605.7102271780836,551.6843371698791,-54.025890008204556,6,0,0,0.22813053603154554,True
2019,12,Principado de Asturias,bsa00_s,564,10,14,4,7105.45,9185.7,2080.250000000001,537.4054845787388,497.2596625842342,-40.14582199450456,4,0,0,0.2264661375834178,True
2018,23,La Rioja,bsa00_s,367,5,8,3,1508.6699999999998,1945.7299999999998,437.05999999999995,273.7942036363155,242.16466267159373,-31.62954096472177,3,0,0,0.22462520493593663,True
2019,23,La Rioja,bsa00_s,423,4,6,2,1585.8899999999999,2035.2700000000002,449.38000000000034,447.5177673104692,491.5794931385024,44.06172582803322,2,0,0,0.2207962579903405,True
2019,61,Andalucía,bsarg_s,1838,8,10,2,18664.68,23942.28,5277.5999999999985,279.70512556336354,264.77754154575086,-14.927584017612674,2,0,0,0.2204301344734085,True
2019,24,Aragón,bsa00_s,553,9,13,4,12629.51,16177.179999999998,3547.6699999999983,365.81207120466274,424.24066726710095,58.4285960624382,4,0,0,0.21930089174998355,True
2017,52,Comunitat Valenciana,bsa00_s,861,14,19,5,30254.23,38486.049999999996,8231.819999999996,497.7772144622421,540.0011824726103,42.22396801036814,5,0,0,0.21389100726107244,True
2018,42,Castilla-La Mancha,bsarg_s,607,3,4,1,739.26,940.1199999999999,200.8599999999999,315.31733517301086,304.2421031357699,-11.075232037240937,1,0,0,0.21365357613921618,True
2019,42,Castilla-La Mancha,bsa00_s,756,10,15,5,11729.66,14893.640000000001,3163.9800000000014,332.14340128358367,316.0237747521761,-16.11962653140756,5,0,0,0.21243832938086332,True
2018,12,Principado de Asturias,bsarg_s,514,12,15,3,11799.48,14933.989999999998,3134.5099999999984,446.3643581666312,422.83352280268036,-23.530835363950814,3,0,0,0.209890993632646,True
2017,41,Castilla y León,bsa00_s,814,15,18,3,16465.75,20737.999999999996,4272.249999999996,322.66495874770357,294.6582628749157,-28.006695872787873,3,0,0,0.20601070498601587,True
2019,70,Canarias,bsarg_s,500,33,41,8,13124.380000000001,16378.88,3254.499999999998,512.6985629873564,474.49511274275164,-38.20345024460471,8,1,0,0.1987010100812753,True
2019,53,Illes Balears,bsa00_s,466,4,6,2,8576.1,10685.75,2109.6499999999996,250.11932160305963,226.84910577170527,-23.270215831354363,2,0,0,0.19742647918957487,True
2018,53,Illes Balears,bsarg_s,334,8,10,2,5985.200000000001,7444.349999999999,1459.1499999999987,472.6041650738488,494.00365050004365,21.39948542619487,2,0,0,0.1960077105455814,True
2018,70,Canarias,bsarg_s,490,37,44,7,12175.56,15045.039999999999,2869.4799999999996,475.46354519217203,503.9644901907872,28.500944998615182,8,2,2,0.19072598012368194,True
2018,13,Cantabria,bsa00_s,412,4,8,4,5199.85,6419.719999999999,1219.869999999999,361.03520201544274,383.9501743222446,22.91497230680187,4,0,0,0.1900191908681374,True
2019,53,Illes Balears,bsarg_s,466,9,12,3,6076.56,7464.389999999999,1387.829999999999,363.5178769566992,400.2060467097781,36.68816975307891,3,0,0,0.1859267803531165,True
2019,43,Extremadura,bsarg_s,663,7,9,2,2862.34,3471.86,609.52,591.1034841423452,555.874201839936,-35.229282302409274,2,0,0,0.1755600744269642,True
2019,51,Cataluña,bsarg_s,3308,101,115,14,73481.22000000002,88900.41,15419.189999999988,529.2844848493262,492.4473305657421,-36.837154283584084,14,0,0,0.17344340706640146,True
2017,30,Comunidad de Madrid,bsarg_s,1261,4,5,1,2799.56,3356.12,556.56,556.9381396362286,559.918491531888,2.980351895659396,1,0,0,0.16583435634005933,True
2019,30,Comunidad de Madrid,bsarg_s,1361,5,6,1,3468.14,4145.6,677.4600000000005,427.02188960076586,453.2319748166731,26.210085215907213,1,0,0,0.16341663450405258,True
2019,12,Principado de Asturias,bsarg_s,564,17,20,3,11245.85,13378.38,2132.529999999999,408.6991615573745,394.5561531366279,-14.143008420746582,3,0,0,0.1594012130018731,True
