period,sample_rule,control_spec,exposure_spec,outcome,n_obs,coef_medium,pval_wbt_medium,coef_high,pval_wbt_high,controls
baseline_2021_2025,common_sample,legacy_full,exposure_cov_hybrid,matdep,171149,0.009761793176736104,0.0611061106110611,0.014216887237459367,0.07300730073007301,hh_size;n_children;head_age_group;head_sex;head_labour_group;single_parent_hh;homeowner
baseline_2021_2025,common_sample,legacy_full,exposure_cov_hybrid,poverty_gap,171149,0.0039550929454994855,0.6339633963396339,0.0061382275581278204,0.47764776477647763,hh_size;n_children;head_age_group;head_sex;head_labour_group;single_parent_hh;homeowner
baseline_2021_2025,common_sample,legacy_full,exposure_cov_hybrid,poverty_gap_sq,171149,0.003975411306910855,0.5008500850085008,0.005886219327998377,0.35813581358135815,hh_size;n_children;head_age_group;head_sex;head_labour_group;single_parent_hh;homeowner
baseline_2021_2025,available_case,unadjusted,exposure_exp_hybrid,poverty,171999,0.027168668809467132,0.0409040904090409,0.007498781838886657,0.4087408740874087,
baseline_2021_2025,available_case,unadjusted,exposure_exp_hybrid,matdep,171999,0.001276692333576261,0.6442644264426443,0.009458476000766509,0.1865186518651865,
baseline_2021_2025,available_case,unadjusted,exposure_exp_hybrid,poverty_gap,171999,0.01074487854426286,0.12991299129912992,0.0014262582435192238,0.7643764376437644,
baseline_2021_2025,available_case,unadjusted,exposure_exp_hybrid,poverty_gap_sq,171999,0.0069311339359987255,0.1646164616461646,0.0008783244007829882,0.8232823282328233,
baseline_2021_2025,available_case,preferred_demographic,exposure_exp_hybrid,poverty,171152,0.022828292486914408,0.07170717071707171,0.0025785198462222637,0.7752775277527753,head_age_group;head_sex;head_education_group;n_adults_group;n_children_group
baseline_2021_2025,available_case,preferred_demographic,exposure_exp_hybrid,matdep,171152,-0.00045243895348042666,0.8758875887588758,0.00684370652593298,0.2911291129112911,head_age_group;head_sex;head_education_group;n_adults_group;n_children_group
baseline_2021_2025,available_case,preferred_demographic,exposure_exp_hybrid,poverty_gap,171152,0.008974993213925982,0.1621162116211621,-0.0008087280049758243,0.8578857885788579,head_age_group;head_sex;head_education_group;n_adults_group;n_children_group
baseline_2021_2025,available_case,preferred_demographic,exposure_exp_hybrid,poverty_gap_sq,171152,0.005788382183317716,0.1933193319331933,-0.0005736414836981025,0.8822882288228823,head_age_group;head_sex;head_education_group;n_adults_group;n_children_group
baseline_2021_2025,available_case,extended_composition,exposure_exp_hybrid,poverty,171152,0.02295183811224721,0.0895089508950895,-0.0007333578248757893,0.936993699369937,head_age_group;head_sex;head_education_group;n_adults_group;n_children_group;single_parent_hh;homeowner
baseline_2021_2025,available_case,extended_composition,exposure_exp_hybrid,matdep,171152,-0.00038272406450010293,0.89008900890089,0.00454311090345808,0.4454445444544454,head_age_group;head_sex;head_education_group;n_adults_group;n_children_group;single_parent_hh;homeowner
baseline_2021_2025,available_case,extended_composition,exposure_exp_hybrid,poverty_gap,171152,0.009029753803806159,0.1855185518551855,-0.002174129326744612,0.6449644964496449,head_age_group;head_sex;head_education_group;n_adults_group;n_children_group;single_parent_hh;homeowner
baseline_2021_2025,available_case,extended_composition,exposure_exp_hybrid,poverty_gap_sq,171152,0.005816357619778743,0.22572257225722572,-0.001355213323420453,0.7301730173017301,head_age_group;head_sex;head_education_group;n_adults_group;n_children_group;single_parent_hh;homeowner
baseline_2021_2025,available_case,legacy_full,exposure_exp_hybrid,poverty,171933,0.022197739865909644,0.0613061306130613,0.012348525049895632,0.16821682168216823,hh_size;n_children;head_age_group;head_sex;head_labour_group;single_parent_hh;homeowner
baseline_2021_2025,available_case,legacy_full,exposure_exp_hybrid,matdep,171933,-0.0005195135398442636,0.8463846384638464,0.009081476580777997,0.32513251325132514,hh_size;n_children;head_age_group;head_sex;head_labour_group;single_parent_hh;homeowner
baseline_2021_2025,available_case,legacy_full,exposure_exp_hybrid,poverty_gap,171933,0.008333865170421518,0.16561656165616562,0.004169908010986096,0.40824082408240825,hh_size;n_children;head_age_group;head_sex;head_labour_group;single_parent_hh;homeowner
baseline_2021_2025,available_case,legacy_full,exposure_exp_hybrid,poverty_gap_sq,171933,0.005261368343471054,0.20552055205520553,0.00281486437832838,0.5188518851885189,hh_size;n_children;head_age_group;head_sex;head_labour_group;single_parent_hh;homeowner
baseline_2021_2025,common_sample,unadjusted,exposure_exp_hybrid,poverty,171152,0.027531296273847893,0.0336033603360336,0.007872814621769903,0.3868386838683868,
