year,coef,se,ci_low,ci_high,pval,pval_wbt
2017,0.0037416265846479486,0.005663672626125522,-0.00840574306859054,0.01588899623788644,0.508845713331942,0.22872287228722873
2018,0.004864015685814472,0.004824029954680241,-0.0054824995431004345,0.015210530914729379,0.3133158071916089,0.2901290129012901
2019,0.0,0.0,0.0,0.0,,
2023,-0.0017924861166205225,0.0073434686891667485,-0.01754266000428657,0.013957687771045526,0.807159129819762,0.645964596459646
2024,0.0017510661538054275,0.007440474918428002,-0.014207165403025258,0.01770929771063611,0.8139422658830684,0.8457845784578458
2025,0.002251670722792224,0.008190783716662249,-0.01531581315631888,0.019819154601903328,0.7833907897593899,0.8936893689368937
