outcome,exposure_spec,coef,se,ci_low,ci_high,pval_cluster,pval_wbt,n_obs,n_clusters,r2_within,label
poverty,exposure_composite_hybrid,0.0002578883922479041,0.004496727141816685,-0.009274747304841333,0.00979052408933714,0.9549763196607071,0.9561956195619562,171933,17,,baseline_2021_2025
poverty,exposure_exp_hybrid,0.0030988180102231207,0.004997208443236401,-0.007494790649906923,0.013692426670353164,0.5439170938342563,0.5932593259325932,171933,17,,baseline_2021_2025
poverty,exposure_cov_hybrid,-0.001390938441506765,0.0033041540478583307,-0.008395432117004999,0.0056135552339914695,0.679379752925442,0.683968396839684,171933,17,,baseline_2021_2025
poverty,exposure_composite_sim,0.0016168832092566191,0.005063235234773425,-0.0092426763200818,0.012476442738595037,0.7541854321008734,0.7796779677967797,160509,15,,baseline_2021_2025
poverty,exposure_admin,-0.0037096040042158634,0.003374642468031157,-0.010863526455172206,0.0034443184467404793,0.2879211930578891,0.24272427242724273,171933,17,,baseline_2021_2025
matdep,exposure_composite_hybrid,0.00871006781745977,0.0029822196674736067,0.0023880445409406236,0.015032091093978916,0.010002401081710133,0.12961296129612962,171933,17,,baseline_2021_2025
matdep,exposure_exp_hybrid,0.004219982439104565,0.003244661167497445,-0.0026583919640506912,0.011098356842259821,0.2118196124966656,0.24892489248924893,171933,17,,baseline_2021_2025
matdep,exposure_cov_hybrid,0.008251747009770724,0.0022919124430732093,0.003393109676348696,0.013110384343192753,0.002397306965717494,0.10811081108110811,171933,17,,baseline_2021_2025
matdep,exposure_composite_sim,0.009624068886883285,0.003166799730292497,0.0028319589820502457,0.016416178791716324,0.00883975084986588,0.0738073807380738,160509,15,,baseline_2021_2025
matdep,exposure_admin,0.006409284937636372,0.002271979046609345,0.0015929045170095671,0.011225665358263175,0.012296237402715793,0.2305230523052305,171933,17,,baseline_2021_2025
poverty_gap,exposure_composite_hybrid,0.0018449412747739947,0.0025912323162798796,-0.003648225844021088,0.007338108393569077,0.4867215931129767,0.5013501350135013,171933,17,,baseline_2021_2025
poverty_gap,exposure_exp_hybrid,0.002437739790900857,0.002519716742246684,-0.002903821083524404,0.007779300665326118,0.34770878444474107,0.42494249424942493,171933,17,,baseline_2021_2025
poverty_gap,exposure_cov_hybrid,0.0008988281496695881,0.0022484206965730363,-0.0038676107998743357,0.005665267099213512,0.6946194917176995,0.7643764376437644,171933,17,,baseline_2021_2025
poverty_gap,exposure_composite_sim,0.00240690569414337,0.0029776673538029954,-0.003979555607340729,0.008793366995627468,0.4324284146364632,0.44324432443244327,160509,15,,baseline_2021_2025
poverty_gap,exposure_admin,-0.0006254334876086208,0.0024770627330868316,-0.00587657190198288,0.004625704926765638,0.8038773597774336,0.812981298129813,171933,17,,baseline_2021_2025
poverty_gap_sq,exposure_composite_hybrid,0.0023316762215501805,0.0019845473169973825,-0.0018753761523078935,0.0065387285954082545,0.2572180704538072,0.33783378337833786,171933,17,,baseline_2021_2025
poverty_gap_sq,exposure_exp_hybrid,0.0023198776970926233,0.001987994643618047,-0.0018944826827367446,0.006534238076921991,0.260331464917293,0.34803480348034804,171933,17,,baseline_2021_2025
poverty_gap_sq,exposure_cov_hybrid,0.001554422047046348,0.0017020641103931249,-0.002053792680190348,0.005162636774283044,0.37466420373741327,0.5205520552055205,171933,17,,baseline_2021_2025
poverty_gap_sq,exposure_composite_sim,0.0026600753462515205,0.0022750038233922054,-0.0022193225691221883,0.00753947326162523,0.26182132456515284,0.32183218321832185,160509,15,,baseline_2021_2025
poverty_gap_sq,exposure_admin,0.00036580231463661226,0.0019549667504542094,-0.0037785420594526227,0.004510146688725847,0.8539231222096197,0.8760876087608761,171933,17,,baseline_2021_2025
