model,exposure_spec,outcome,group,year,rel_year,term,coef,se,ci_low,ci_high,pval_crv1,reference_year,pre_period,n_obs,n_clusters,pretrend_chi2_stat,pretrend_chi2_p,pretrend_inference
continuous,exposure_exp_hybrid,poverty,,2025,6,event_x_2025,0.0037232113323803235,0.004692069730764518,-0.006223532154183023,0.01366995481894367,0.4390899650296387,2019,False,171999,17,1.7210876106759347,0.4229320270768623,CRV1 asymptotic chi-square Wald diagnostic
continuous,exposure_exp_hybrid,matdep,,2017,-2,event_x_2017,0.0021867347861714457,0.0030035079602924366,-0.004180417655105712,0.008553887227448605,0.4770974755481141,2019,True,171999,17,0.555290155239305,0.7575656508088014,CRV1 asymptotic chi-square Wald diagnostic
continuous,exposure_exp_hybrid,matdep,,2018,-1,event_x_2018,0.0005419971429383688,0.002779039512874153,-0.005349303447148802,0.006433297733025539,0.8478242158078975,2019,True,171999,17,0.555290155239305,0.7575656508088014,CRV1 asymptotic chi-square Wald diagnostic
continuous,exposure_exp_hybrid,matdep,,2021,2,event_x_2021,0.0019819096096903178,0.003400996473330841,-0.00522788083675653,0.009191700056137165,0.5681885152692556,2019,False,171999,17,0.555290155239305,0.7575656508088014,CRV1 asymptotic chi-square Wald diagnostic
continuous,exposure_exp_hybrid,matdep,,2022,3,event_x_2022,0.0017332665691741891,0.0034694788845412265,-0.005621700103701004,0.009088233242049382,0.6241738858089962,2019,False,171999,17,0.555290155239305,0.7575656508088014,CRV1 asymptotic chi-square Wald diagnostic
continuous,exposure_exp_hybrid,matdep,,2023,4,event_x_2023,0.005141256571867635,0.004905035831282338,-0.005256954879737926,0.015539468023473196,0.31014150053753164,2019,False,171999,17,0.555290155239305,0.7575656508088014,CRV1 asymptotic chi-square Wald diagnostic
continuous,exposure_exp_hybrid,matdep,,2024,5,event_x_2024,0.0033642854913057694,0.0035670120086817676,-0.004197442168284562,0.0109260131508961,0.3596207064243875,2019,False,171999,17,0.555290155239305,0.7575656508088014,CRV1 asymptotic chi-square Wald diagnostic
continuous,exposure_exp_hybrid,matdep,,2025,6,event_x_2025,0.0022402351773941963,0.00462893864908577,-0.007572676394572804,0.012053146749361197,0.6349695000341371,2019,False,171999,17,0.555290155239305,0.7575656508088014,CRV1 asymptotic chi-square Wald diagnostic
continuous,exposure_exp_hybrid,poverty_gap,,2017,-2,event_x_2017,0.0001996106454829471,0.0025195236393147917,-0.005141540869013701,0.005540762159979595,0.9378356461927719,2019,True,171999,17,1.4771024433355766,0.4778056487869283,CRV1 asymptotic chi-square Wald diagnostic
continuous,exposure_exp_hybrid,poverty_gap,,2018,-1,event_x_2018,0.0016120648823570631,0.0015513098525921035,-0.0016765650948870805,0.004900694859601207,0.3141783720500506,2019,True,171999,17,1.4771024433355766,0.4778056487869283,CRV1 asymptotic chi-square Wald diagnostic
continuous,exposure_exp_hybrid,poverty_gap,,2021,2,event_x_2021,0.0031579948653877297,0.00179688556396213,-0.0006512323637497624,0.006967222094525221,0.09794918941896036,2019,False,171999,17,1.4771024433355766,0.4778056487869283,CRV1 asymptotic chi-square Wald diagnostic
continuous,exposure_exp_hybrid,poverty_gap,,2022,3,event_x_2022,0.0008551576246108372,0.0016036980330502092,-0.002544530334003004,0.004254845583224679,0.6011960328812707,2019,False,171999,17,1.4771024433355766,0.4778056487869283,CRV1 asymptotic chi-square Wald diagnostic
continuous,exposure_exp_hybrid,poverty_gap,,2023,4,event_x_2023,0.00039333952576464464,0.0017888733112980519,-0.003398902486491569,0.004185581538020858,0.8287445452013928,2019,False,171999,17,1.4771024433355766,0.4778056487869283,CRV1 asymptotic chi-square Wald diagnostic
continuous,exposure_exp_hybrid,poverty_gap,,2024,5,event_x_2024,0.000568401437695886,0.0025006714999357034,-0.004732785326629374,0.005869588202021147,0.8230697548456019,2019,False,171999,17,1.4771024433355766,0.4778056487869283,CRV1 asymptotic chi-square Wald diagnostic
continuous,exposure_exp_hybrid,poverty_gap,,2025,6,event_x_2025,0.0007934128972326951,0.002285071274982396,-0.004050721807700754,0.005637547602166145,0.7329542873113142,2019,False,171999,17,1.4771024433355766,0.4778056487869283,CRV1 asymptotic chi-square Wald diagnostic
continuous,exposure_exp_hybrid,poverty_gap_sq,,2017,-2,event_x_2017,-0.0003225422247859493,0.00162343234734131,-0.0037640650608419925,0.003118980611270094,0.8450163311645993,2019,True,171999,17,1.878582327784109,0.39090482463139314,CRV1 asymptotic chi-square Wald diagnostic
continuous,exposure_exp_hybrid,poverty_gap_sq,,2018,-1,event_x_2018,0.0012266358994131301,0.0009067027271639863,-0.0006954880167201678,0.0031487598155464282,0.19491167134754983,2019,True,171999,17,1.878582327784109,0.39090482463139314,CRV1 asymptotic chi-square Wald diagnostic
continuous,exposure_exp_hybrid,poverty_gap_sq,,2021,2,event_x_2021,0.0019407758715871814,0.0014300657431493234,-0.001090828075549851,0.004972379818724214,0.19357941057014205,2019,False,171999,17,1.878582327784109,0.39090482463139314,CRV1 asymptotic chi-square Wald diagnostic
continuous,exposure_exp_hybrid,poverty_gap_sq,,2022,3,event_x_2022,-0.00010434412431373346,0.0013047893109859338,-0.002870373899040064,0.002661685650412597,0.9372527545830169,2019,False,171999,17,1.878582327784109,0.39090482463139314,CRV1 asymptotic chi-square Wald diagnostic
continuous,exposure_exp_hybrid,poverty_gap_sq,,2023,4,event_x_2023,-0.0004506409568951963,0.0013479492918836865,-0.003308165803840961,0.0024068838900505683,0.7424832656147053,2019,False,171999,17,1.878582327784109,0.39090482463139314,CRV1 asymptotic chi-square Wald diagnostic
continuous,exposure_exp_hybrid,poverty_gap_sq,,2024,5,event_x_2024,-0.000312412797115263,0.001689808639854048,-0.0038946470874117196,0.003269821493181194,0.8556458733383074,2019,False,171999,17,1.878582327784109,0.39090482463139314,CRV1 asymptotic chi-square Wald diagnostic
continuous,exposure_exp_hybrid,poverty_gap_sq,,2025,6,event_x_2025,0.0005016067577527265,0.0016556265212605923,-0.0030081646781988545,0.004011378193704307,0.7658156208456504,2019,False,171999,17,1.878582327784109,0.39090482463139314,CRV1 asymptotic chi-square Wald diagnostic
continuous,exposure_cov_sim,poverty,,2017,-2,event_x_2017,-0.0008816724820063167,0.004443272362965616,-0.010411543896888054,0.00864819893287542,0.845562313375821,2019,True,160572,15,2.931308888352724,0.23092681330575524,CRV1 asymptotic chi-square Wald diagnostic
continuous,exposure_cov_sim,poverty,,2018,-1,event_x_2018,-0.004145295022926082,0.005567347619459457,-0.016086068084153603,0.007795478038301437,0.4688449991889805,2019,True,160572,15,2.931308888352724,0.23092681330575524,CRV1 asymptotic chi-square Wald diagnostic
continuous,exposure_cov_sim,poverty,,2021,2,event_x_2021,-0.00448191441866412,0.003907143766372371,-0.012861904356560611,0.0038980755192323724,0.2705636715640878,2019,False,160572,15,2.931308888352724,0.23092681330575524,CRV1 asymptotic chi-square Wald diagnostic
continuous,exposure_cov_sim,poverty,,2022,3,event_x_2022,-0.0020213381697941537,0.0031613241024133175,-0.008801704020843938,0.00475902768125563,0.5328886818170804,2019,False,160572,15,2.931308888352724,0.23092681330575524,CRV1 asymptotic chi-square Wald diagnostic
continuous,exposure_cov_sim,poverty,,2023,4,event_x_2023,-0.0012403160991882865,0.004049857525802405,-0.009926396608493017,0.007445764410116445,0.7639126425065474,2019,False,160572,15,2.931308888352724,0.23092681330575524,CRV1 asymptotic chi-square Wald diagnostic
continuous,exposure_cov_sim,poverty,,2024,5,event_x_2024,-0.0035608092410895327,0.00592156900579713,-0.016261311616309882,0.009139693134130815,0.5572331244929094,2019,False,160572,15,2.931308888352724,0.23092681330575524,CRV1 asymptotic chi-square Wald diagnostic
continuous,exposure_cov_sim,poverty,,2025,6,event_x_2025,-0.0014726455632562922,0.004344784294526376,-0.010791281080030812,0.007845989953518227,0.7396809348015068,2019,False,160572,15,2.931308888352724,0.23092681330575524,CRV1 asymptotic chi-square Wald diagnostic
continuous,exposure_cov_sim,matdep,,2017,-2,event_x_2017,0.0009151843429799163,0.0028421711478335003,-0.00518066649967744,0.007011035185637273,0.752209056020849,2019,True,160572,15,5.878406631841582,0.05290786280431321,CRV1 asymptotic chi-square Wald diagnostic
continuous,exposure_cov_sim,matdep,,2018,-1,event_x_2018,-0.0025367389213114835,0.001289556308483071,-0.0053025621250663985,0.00022908428244343198,0.06930746483378303,2019,True,160572,15,5.878406631841582,0.05290786280431321,CRV1 asymptotic chi-square Wald diagnostic
