year,exposure_tercile,mean_outcome,n_obs,n_regions,outcome,exposure_spec
2018,high,0.04211614037176853,6512,6,poverty_gap_sq,exposure_cov_hybrid
2018,low,0.03120341297694645,3515,6,poverty_gap_sq,exposure_cov_hybrid
2018,medium,0.04039553611784728,3098,5,poverty_gap_sq,exposure_cov_hybrid
2019,high,0.04254401327878502,8012,6,poverty_gap_sq,exposure_cov_hybrid
2019,low,0.02819007895285528,4072,6,poverty_gap_sq,exposure_cov_hybrid
2019,medium,0.0381977225319399,3524,5,poverty_gap_sq,exposure_cov_hybrid
2021,high,0.047660790867958124,10290,6,poverty_gap_sq,exposure_cov_hybrid
2021,low,0.03189303925373651,5638,6,poverty_gap_sq,exposure_cov_hybrid
2021,medium,0.041383876284806644,4708,5,poverty_gap_sq,exposure_cov_hybrid
2022,high,0.039579950032814705,12229,6,poverty_gap_sq,exposure_cov_hybrid
2022,low,0.02366205902897796,6365,6,poverty_gap_sq,exposure_cov_hybrid
2022,medium,0.0355676500215876,5346,5,poverty_gap_sq,exposure_cov_hybrid
2023,high,0.03852563870554841,13653,6,poverty_gap_sq,exposure_cov_hybrid
2023,low,0.02451618932493941,7259,6,poverty_gap_sq,exposure_cov_hybrid
2023,medium,0.03690426154785533,5919,5,poverty_gap_sq,exposure_cov_hybrid
2024,high,0.03558726823184493,14681,6,poverty_gap_sq,exposure_cov_hybrid
2024,low,0.022743761790114555,8146,6,poverty_gap_sq,exposure_cov_hybrid
2024,medium,0.034301300437250284,6543,5,poverty_gap_sq,exposure_cov_hybrid
2025,high,0.03569705764021007,14763,6,poverty_gap_sq,exposure_cov_hybrid
2025,low,0.019719027446891538,7814,6,poverty_gap_sq,exposure_cov_hybrid
2025,medium,0.03306996377186124,6396,5,poverty_gap_sq,exposure_cov_hybrid
