year,exposure_tercile,mean_outcome,n_obs,n_regions,outcome,exposure_spec
2018,high,0.04867806097947735,4719,6,poverty_gap_sq,exposure_exp_hybrid
2018,low,0.03381172177274036,5966,6,poverty_gap_sq,exposure_exp_hybrid
2018,medium,0.03182507038921791,2440,5,poverty_gap_sq,exposure_exp_hybrid
2019,high,0.04628608987401618,5781,6,poverty_gap_sq,exposure_exp_hybrid
2019,low,0.03275436672112563,6912,6,poverty_gap_sq,exposure_exp_hybrid
2019,medium,0.03303030591770176,2915,5,poverty_gap_sq,exposure_exp_hybrid
2021,high,0.05360408107713366,7279,6,poverty_gap_sq,exposure_exp_hybrid
2021,low,0.03337951272087699,9329,6,poverty_gap_sq,exposure_exp_hybrid
2021,medium,0.04058992119146174,4028,5,poverty_gap_sq,exposure_exp_hybrid
2022,high,0.044095174358001206,8322,6,poverty_gap_sq,exposure_exp_hybrid
2022,low,0.02860826227454091,11154,6,poverty_gap_sq,exposure_exp_hybrid
2022,medium,0.031075330033294733,4464,5,poverty_gap_sq,exposure_exp_hybrid
2023,high,0.04223029025861613,9505,6,poverty_gap_sq,exposure_exp_hybrid
2023,low,0.028131204265483,12407,6,poverty_gap_sq,exposure_exp_hybrid
2023,medium,0.034959773821579485,4919,5,poverty_gap_sq,exposure_exp_hybrid
2024,high,0.03949943305099154,10927,6,poverty_gap_sq,exposure_exp_hybrid
2024,low,0.02524305736974966,12978,6,poverty_gap_sq,exposure_exp_hybrid
2024,medium,0.03164612510926287,5465,5,poverty_gap_sq,exposure_exp_hybrid
2025,high,0.040383143401207355,10786,6,poverty_gap_sq,exposure_exp_hybrid
2025,low,0.023737036536758353,12980,6,poverty_gap_sq,exposure_exp_hybrid
2025,medium,0.028599253259978936,5207,5,poverty_gap_sq,exposure_exp_hybrid
