model,exposure_spec,outcome,group,year,rel_year,term,coef,se,ci_low,ci_high,pval_crv1,reference_year,pre_period,n_obs,n_clusters,control_spec,pretrend_group_chi2_stat,pretrend_group_chi2_p,pretrend_inference,pretrend_chi2_stat,pretrend_chi2_p
tercile,exposure_cov_hybrid,poverty,medium,2017,-2,event_medium_2017,-0.01409156190806,0.0127328370420575,-0.0410839706276386,0.0129008468115185,0.2847814087175999,2019,True,171152,17,preferred_demographic,1.5383916350665907,0.4633855650602215,CRV1 asymptotic chi-square Wald diagnostic,4.606456129532633,0.3301104865015197
tercile,exposure_cov_hybrid,poverty,medium,2018,-1,event_medium_2018,-0.0105588105990921,0.0094392967663266,-0.03056922583495,0.0094516046367658,0.2798239126625716,2019,True,171152,17,preferred_demographic,1.5383916350665907,0.4633855650602215,CRV1 asymptotic chi-square Wald diagnostic,4.606456129532633,0.3301104865015197
tercile,exposure_cov_hybrid,poverty,medium,2021,2,event_medium_2021,-0.0114298559266623,0.0096456790341049,-0.0318777820256488,0.0090180701723241,0.2533315192848402,2019,False,171152,17,preferred_demographic,1.5383916350665907,0.4633855650602215,CRV1 asymptotic chi-square Wald diagnostic,4.606456129532633,0.3301104865015197
tercile,exposure_cov_hybrid,poverty,medium,2022,3,event_medium_2022,-0.0102168998616631,0.0100832391292195,-0.0315924119250108,0.0111586122016844,0.3260165286184822,2019,False,171152,17,preferred_demographic,1.5383916350665907,0.4633855650602215,CRV1 asymptotic chi-square Wald diagnostic,4.606456129532633,0.3301104865015197
tercile,exposure_cov_hybrid,poverty,medium,2023,4,event_medium_2023,-0.0094578232609192,0.0114940207700137,-0.0338240588006304,0.014908412278792,0.4226896910548621,2019,False,171152,17,preferred_demographic,1.5383916350665907,0.4633855650602215,CRV1 asymptotic chi-square Wald diagnostic,4.606456129532633,0.3301104865015197
tercile,exposure_cov_hybrid,poverty,medium,2024,5,event_medium_2024,-0.006942979900224,0.0154632467276157,-0.0397235985812624,0.0258376387808143,0.6594543604531984,2019,False,171152,17,preferred_demographic,1.5383916350665907,0.4633855650602215,CRV1 asymptotic chi-square Wald diagnostic,4.606456129532633,0.3301104865015197
tercile,exposure_cov_hybrid,poverty,medium,2025,6,event_medium_2025,-0.0093358737389738,0.0120118069149757,-0.0347997668712535,0.0161280193933057,0.448365904477902,2019,False,171152,17,preferred_demographic,1.5383916350665907,0.4633855650602215,CRV1 asymptotic chi-square Wald diagnostic,4.606456129532633,0.3301104865015197
tercile,exposure_cov_hybrid,poverty,high,2017,-2,event_high_2017,0.0071026275857109,0.0093936457467673,-0.0128110118118683,0.0270162669832901,0.4605716995126359,2019,True,171152,17,preferred_demographic,0.7833188591797621,0.6759342779791391,CRV1 asymptotic chi-square Wald diagnostic,4.606456129532633,0.3301104865015197
tercile,exposure_cov_hybrid,poverty,high,2018,-1,event_high_2018,0.0014028784736179,0.0126441432845701,-0.0254015078794551,0.028207264826691,0.9130351865862024,2019,True,171152,17,preferred_demographic,0.7833188591797621,0.6759342779791391,CRV1 asymptotic chi-square Wald diagnostic,4.606456129532633,0.3301104865015197
tercile,exposure_cov_hybrid,poverty,high,2021,2,event_high_2021,-0.0017645190988648,0.0102422356505219,-0.0234770887302791,0.0199480505325494,0.865378728854374,2019,False,171152,17,preferred_demographic,0.7833188591797621,0.6759342779791391,CRV1 asymptotic chi-square Wald diagnostic,4.606456129532633,0.3301104865015197
tercile,exposure_cov_hybrid,poverty,high,2022,3,event_high_2022,-0.0030572666903944,0.0077930857722086,-0.0195778705161853,0.0134633371353964,0.7000093925918631,2019,False,171152,17,preferred_demographic,0.7833188591797621,0.6759342779791391,CRV1 asymptotic chi-square Wald diagnostic,4.606456129532633,0.3301104865015197
tercile,exposure_cov_hybrid,poverty,high,2023,4,event_high_2023,-0.0055859937853877,0.0096666246278209,-0.026078322559488,0.0149063349887125,0.5713997861108022,2019,False,171152,17,preferred_demographic,0.7833188591797621,0.6759342779791391,CRV1 asymptotic chi-square Wald diagnostic,4.606456129532633,0.3301104865015197
tercile,exposure_cov_hybrid,poverty,high,2024,5,event_high_2024,-0.0088874207035117,0.0100721272671419,-0.0302393766715569,0.0124645352645334,0.3906370016149838,2019,False,171152,17,preferred_demographic,0.7833188591797621,0.6759342779791391,CRV1 asymptotic chi-square Wald diagnostic,4.606456129532633,0.3301104865015197
tercile,exposure_cov_hybrid,poverty,high,2025,6,event_high_2025,-0.0076719718109313,0.0091433609728144,-0.0270550311898936,0.0117110875680309,0.413788146051427,2019,False,171152,17,preferred_demographic,0.7833188591797621,0.6759342779791391,CRV1 asymptotic chi-square Wald diagnostic,4.606456129532633,0.3301104865015197
tercile,exposure_cov_hybrid,matdep,medium,2017,-2,event_medium_2017,-0.0060780822282491,0.0060595304035905,-0.0189237128416131,0.0067675483851148,0.3307606679849253,2019,True,171152,17,preferred_demographic,1.5050513812929935,0.4711750063292699,CRV1 asymptotic chi-square Wald diagnostic,3.685478388924057,0.4502415321798149
tercile,exposure_cov_hybrid,matdep,medium,2018,-1,event_medium_2018,-0.0046001456738961,0.00623842145805,-0.017825008381592,0.0086247170337997,0.4715619170124732,2019,True,171152,17,preferred_demographic,1.5050513812929935,0.4711750063292699,CRV1 asymptotic chi-square Wald diagnostic,3.685478388924057,0.4502415321798149
tercile,exposure_cov_hybrid,matdep,medium,2021,2,event_medium_2021,-0.0034104446129668,0.0072066078755906,-0.0186877708378411,0.0118668816119075,0.6424350205058134,2019,False,171152,17,preferred_demographic,1.5050513812929935,0.4711750063292699,CRV1 asymptotic chi-square Wald diagnostic,3.685478388924057,0.4502415321798149
tercile,exposure_cov_hybrid,matdep,medium,2022,3,event_medium_2022,0.0072709796744072,0.0054293608269945,-0.0042387511141227,0.0187807104629372,0.1992221921720021,2019,False,171152,17,preferred_demographic,1.5050513812929935,0.4711750063292699,CRV1 asymptotic chi-square Wald diagnostic,3.685478388924057,0.4502415321798149
tercile,exposure_cov_hybrid,matdep,medium,2023,4,event_medium_2023,0.002617992462736,0.0071657326257428,-0.0125726821033787,0.0178086670288508,0.7196358467632731,2019,False,171152,17,preferred_demographic,1.5050513812929935,0.4711750063292699,CRV1 asymptotic chi-square Wald diagnostic,3.685478388924057,0.4502415321798149
tercile,exposure_cov_hybrid,matdep,medium,2024,5,event_medium_2024,0.0053856988367897,0.007085788609133,-0.009635501984873,0.0204068996584524,0.4582667505269913,2019,False,171152,17,preferred_demographic,1.5050513812929935,0.4711750063292699,CRV1 asymptotic chi-square Wald diagnostic,3.685478388924057,0.4502415321798149
tercile,exposure_cov_hybrid,matdep,medium,2025,6,event_medium_2025,0.0049748527125097,0.0075897163770087,-0.0111146272546973,0.0210643326797168,0.5214773932841972,2019,False,171152,17,preferred_demographic,1.5050513812929935,0.4711750063292699,CRV1 asymptotic chi-square Wald diagnostic,3.685478388924057,0.4502415321798149
tercile,exposure_cov_hybrid,matdep,high,2017,-2,event_high_2017,0.0077603465957825,0.0080713835494784,-0.009350222162804,0.0248709153543692,0.3506249853612118,2019,True,171152,17,preferred_demographic,1.209606348660934,0.5461819186825974,CRV1 asymptotic chi-square Wald diagnostic,3.685478388924057,0.4502415321798149
tercile,exposure_cov_hybrid,matdep,high,2018,-1,event_high_2018,0.0023623134418039,0.0052799224135535,-0.0088306220621653,0.0135552489457732,0.6605737174084685,2019,True,171152,17,preferred_demographic,1.209606348660934,0.5461819186825974,CRV1 asymptotic chi-square Wald diagnostic,3.685478388924057,0.4502415321798149
tercile,exposure_cov_hybrid,matdep,high,2021,2,event_high_2021,0.016001438386184,0.0071003605122756,0.0009493465098295,0.0310535302625385,0.03860043709314,2019,False,171152,17,preferred_demographic,1.209606348660934,0.5461819186825974,CRV1 asymptotic chi-square Wald diagnostic,3.685478388924057,0.4502415321798149
tercile,exposure_cov_hybrid,matdep,high,2022,3,event_high_2022,0.0148606817163471,0.0056582525440088,0.0028657221639705,0.0268556412687237,0.0183308938429689,2019,False,171152,17,preferred_demographic,1.209606348660934,0.5461819186825974,CRV1 asymptotic chi-square Wald diagnostic,3.685478388924057,0.4502415321798149
tercile,exposure_cov_hybrid,matdep,high,2023,4,event_high_2023,0.0136627750032137,0.0103328911793661,-0.008241975764201,0.0355675257706285,0.2046730807757388,2019,False,171152,17,preferred_demographic,1.209606348660934,0.5461819186825974,CRV1 asymptotic chi-square Wald diagnostic,3.685478388924057,0.4502415321798149
tercile,exposure_cov_hybrid,matdep,high,2024,5,event_high_2024,0.0092393008839165,0.0061960288461987,-0.0038956935012679,0.022374295269101,0.1553697472009605,2019,False,171152,17,preferred_demographic,1.209606348660934,0.5461819186825974,CRV1 asymptotic chi-square Wald diagnostic,3.685478388924057,0.4502415321798149
tercile,exposure_cov_hybrid,matdep,high,2025,6,event_high_2025,0.0058535910679363,0.0080656227869204,-0.0112447654195758,0.0229519475554486,0.4784768663415977,2019,False,171152,17,preferred_demographic,1.209606348660934,0.5461819186825974,CRV1 asymptotic chi-square Wald diagnostic,3.685478388924057,0.4502415321798149
tercile,exposure_cov_hybrid,poverty_gap,medium,2017,-2,event_medium_2017,-0.0025066248141206,0.0071310503883068,-0.0176237763213061,0.0126105266930647,0.7297932229190447,2019,True,171152,17,preferred_demographic,0.2334690597976019,0.8898213827839198,CRV1 asymptotic chi-square Wald diagnostic,4.567936387418561,0.334567814043569
tercile,exposure_cov_hybrid,poverty_gap,medium,2018,-1,event_medium_2018,-0.0023647100604277,0.0050337769332766,-0.0130358404563786,0.008306420335523,0.6448591091235722,2019,True,171152,17,preferred_demographic,0.2334690597976019,0.8898213827839198,CRV1 asymptotic chi-square Wald diagnostic,4.567936387418561,0.334567814043569
tercile,exposure_cov_hybrid,poverty_gap,medium,2021,2,event_medium_2021,-0.0035208613400745,0.0035858941437161,-0.0111226173377849,0.0040808946576358,0.3407815717569313,2019,False,171152,17,preferred_demographic,0.2334690597976019,0.8898213827839198,CRV1 asymptotic chi-square Wald diagnostic,4.567936387418561,0.334567814043569
tercile,exposure_cov_hybrid,poverty_gap,medium,2022,3,event_medium_2022,-0.0014361209045423,0.0034380438323591,-0.0087244482437153,0.0058522064346306,0.681707655328192,2019,False,171152,17,preferred_demographic,0.2334690597976019,0.8898213827839198,CRV1 asymptotic chi-square Wald diagnostic,4.567936387418561,0.334567814043569
