year,n_households,n_regions,matdep_rate_pct,poverty_rate_pct,mean_income_net_annual,mean_hh_size,pct_matdep_missing,pct_poverty_missing,pct_income_missing
2017,12647,15,5.1120166270661755,20.847621272155216,27491.125609577848,2.4899915666965837,0.0,0.0,0.0
2018,12263,15,5.476115116009172,20.665731241705394,28382.484717516018,2.4915556860965937,0.0,0.0,0.0
2019,14632,15,4.674015984680615,19.55993645860691,29092.487721261485,2.4956737077798876,0.0,0.0,0.0
2021,19227,15,7.350721825949565,21.68945697912394,30497.725400883908,2.4919992362639345,0.0,0.0,0.0
2022,22334,15,7.861984465933046,20.491632553032836,32174.096694237287,2.4792305359080657,0.0,0.0,0.0
2023,24996,15,8.61830000312737,20.223276619319652,34810.05072704536,2.475424924854238,0.0,0.0,0.0
2024,27427,15,8.022944535033611,19.5023529789094,36985.900015055304,2.5011182503922025,0.0,0.0,0.0
2025,27046,15,7.50333427073359,19.46591352548322,38974.34307197422,2.4988725901257127,0.0,0.0,0.0
