year,n_households,n_regions,matdep_rate_pct,poverty_rate_pct,mean_income_net_annual,mean_hh_size,pct_matdep_missing,pct_poverty_missing,pct_income_missing,pct_head_age_available
2017,12647,15,5.1120166270661755,20.847621272155216,NaN,2.4899915666965837,0.0,0.0,100.0,0.0
2018,12263,15,5.476115116009172,20.665731241705394,NaN,2.4915556860965937,0.0,0.0,100.0,0.0
2019,14632,15,4.674015984680615,19.55993645860691,NaN,2.4956737077798876,0.0,0.0,100.0,0.0
2021,19227,15,7.350721825949565,21.68945697912394,NaN,2.4919992362639345,0.0,0.0,100.0,99.9947989806002
2022,22334,15,7.861984465933046,20.491632553032836,NaN,2.4792305359080657,0.0,0.0,100.0,100.0
2023,24996,15,8.61830000312737,20.223276619319652,NaN,2.475424924854238,0.0,0.0,100.0,100.0
2024,27427,15,8.022944535033611,19.5023529789094,NaN,2.5011182503922025,0.0,0.0,100.0,100.0
2025,27046,15,7.50333427073359,19.46591352548322,NaN,2.4988725901257127,0.0,0.0,100.0,100.0
