model,exposure_spec,exposure_label,outcome,outcome_label,year,rel_year,term,coef,se,ci_low,ci_high,ci_95,pval_crv1,pval_wbt,pretrend_wald_p,pre_period,reference_year,n_obs,n_clusters,coef_rounded,se_rounded,pval_crv1_rounded,pval_wbt_rounded
primary_continuous_event_study,exposure_composite_hybrid,Composite hybrid,poverty_gap,Poverty gap,2022,3,year::2022:_exposure,0.002803466051406706,0.0021195940060021352,-0.0016898725141148286,0.00729680461692824,"[-0.0017, 0.0073]",0.2045487252847229,,0.05102657891898509,False,2019,171933,17,0.0028,0.0021,0.2045,
primary_continuous_event_study,exposure_composite_hybrid,Composite hybrid,poverty_gap,Poverty gap,2023,4,year::2023:_exposure,0.00262805577573357,0.002590276232526564,-0.0028630845360463593,0.008119196087513499,"[-0.0029, 0.0081]",0.3254014396217244,,0.05102657891898509,False,2019,171933,17,0.0026,0.0026,0.3254,
primary_continuous_event_study,exposure_composite_hybrid,Composite hybrid,poverty_gap,Poverty gap,2024,5,year::2024:_exposure,0.002674364397912073,0.0024171137784815486,-0.0024496879099116715,0.007798416705735818,"[-0.0024, 0.0078]",0.2848995353587267,,0.05102657891898509,False,2019,171933,17,0.0027,0.0024,0.2849,
primary_continuous_event_study,exposure_composite_hybrid,Composite hybrid,poverty_gap,Poverty gap,2025,6,year::2025:_exposure,0.0021526032078936414,0.002360004901546775,-0.0028503836890835022,0.0071555901048707855,"[-0.0029, 0.0072]",0.37524537852538375,,0.05102657891898509,False,2019,171933,17,0.0022,0.0024,0.3752,
primary_continuous_event_study,exposure_composite_hybrid,Composite hybrid,poverty_gap_sq,Squared poverty gap,2017,-2,year::2017:_exposure,0.0023615443348341176,0.0013126829509684148,-0.0004212192091212195,0.005144307878789455,"[-0.0004, 0.0051]",0.09090374724950667,,0.19811968709728628,True,2019,171933,17,0.0024,0.0013,0.0909,
primary_continuous_event_study,exposure_composite_hybrid,Composite hybrid,poverty_gap_sq,Squared poverty gap,2018,-1,year::2018:_exposure,-0.0006464330844086001,0.0014399369649097866,-0.0036989630868654263,0.0024060969180482263,"[-0.0037, 0.0024]",0.6595019090456606,,0.19811968709728628,True,2019,171933,17,-0.0006,0.0014,0.6595,
primary_continuous_event_study,exposure_composite_hybrid,Composite hybrid,poverty_gap_sq,Squared poverty gap,2019,0,reference,0.0,0.0,0.0,0.0,"[0.0, 0.0]",,,0.19811968709728628,True,2019,171933,17,0.0,0.0,,
primary_continuous_event_study,exposure_composite_hybrid,Composite hybrid,poverty_gap_sq,Squared poverty gap,2021,2,year::2021:_exposure,0.0033977245473590326,0.002224886653826949,-0.0013188244602553613,0.008114273554973427,"[-0.0013, 0.0081]",0.1462503138233151,,0.19811968709728628,False,2019,171933,17,0.0034,0.0022,0.1463,
primary_continuous_event_study,exposure_composite_hybrid,Composite hybrid,poverty_gap_sq,Squared poverty gap,2022,3,year::2022:_exposure,0.00285076399562994,0.0018200294966289284,-0.0010075261790127178,0.006709054170272598,"[-0.001, 0.0067]",0.13683372549140493,,0.19811968709728628,False,2019,171933,17,0.0029,0.0018,0.1368,
primary_continuous_event_study,exposure_composite_hybrid,Composite hybrid,poverty_gap_sq,Squared poverty gap,2023,4,year::2023:_exposure,0.002514940497726747,0.0019213208902284264,-0.0015580778389729924,0.006587958834426487,"[-0.0016, 0.0066]",0.20903535697305697,,0.19811968709728628,False,2019,171933,17,0.0025,0.0019,0.209,
primary_continuous_event_study,exposure_composite_hybrid,Composite hybrid,poverty_gap_sq,Squared poverty gap,2024,5,year::2024:_exposure,0.0025128405516023702,0.0017301503286237087,-0.001154914298496425,0.006180595401701166,"[-0.0012, 0.0062]",0.16572389327022985,,0.19811968709728628,False,2019,171933,17,0.0025,0.0017,0.1657,
primary_continuous_event_study,exposure_composite_hybrid,Composite hybrid,poverty_gap_sq,Squared poverty gap,2025,6,year::2025:_exposure,0.0023755641242424034,0.0017979477818327678,-0.0014359149061879814,0.006187043154672788,"[-0.0014, 0.0062]",0.20499743700414963,,0.19811968709728628,False,2019,171933,17,0.0024,0.0018,0.205,
