model,exposure_spec,exposure_label,outcome,outcome_label,pretrend_wald_stat,pretrend_wald_p,lead_mean,lead_max_abs,post_mean,post_max_abs,lead_to_post_ratio,n_obs,n_clusters,expected_pre_years,estimated_pre_years,n_pretrend_terms_expected,n_pretrend_terms_estimated,pretrend_alpha,pretrend_verdict,interpretation
primary_continuous_event_study,exposure_composite_hybrid,Composite hybrid,matdep,Severe material deprivation,1.011909271642831,0.6029297222950604,0.0009371583765698188,0.003611246639514072,0.009168414639551887,0.011474577630209107,0.31471717355475876,171933,17,"2017,2018","2017,2018",2,2,0.1,PASS_no_evidence_of_differential_pretrend,No statistically significant evidence of differential pre-reform trends at the diagnostic threshold.
primary_continuous_event_study,exposure_composite_hybrid,Composite hybrid,poverty,At-risk-of-poverty,3.3051045163414794,0.19156037264911605,0.006369678067941694,0.006814523104659096,0.003959792524736992,0.005545240194465822,1.2288959297849757,171933,17,"2017,2018","2017,2018",2,2,0.1,PASS_no_evidence_of_differential_pretrend,No statistically significant evidence of differential pre-reform trends at the diagnostic threshold.
primary_continuous_event_study,exposure_composite_hybrid,Composite hybrid,poverty_gap,Poverty gap,5.95081725347568,0.05102657891898509,0.001970652476386643,0.003782692069108316,0.002884027438473394,0.0041616477594209784,0.9089409502630786,171933,17,"2017,2018","2017,2018",2,2,0.1,WARNING_pretrend_diagnostic_failed,Pre-reform exposure-year interactions are jointly statistically different from zero; interpret DiD estimates cautiously.
primary_continuous_event_study,exposure_composite_hybrid,Composite hybrid,poverty_gap_sq,Squared poverty gap,3.237767901245791,0.19811968709728628,0.0008575556252127588,0.0023615443348341176,0.0027303667433120986,0.0033977245473590326,0.6950370172501734,171933,17,"2017,2018","2017,2018",2,2,0.1,PASS_no_evidence_of_differential_pretrend,No statistically significant evidence of differential pre-reform trends at the diagnostic threshold.
