model,exposure_spec,outcome,group,year,rel_year,term,coef,se,ci_low,ci_high,pval_crv1,pval_wbt,pre_period,reference_year,n_obs,n_clusters,pretrend_wald_stat,pretrend_wald_p
tercile_event_study,exposure_composite_hybrid,poverty,high,2017,-2,yr_2017_x_high,0.024404247186036798,0.013826779757331396,-0.004907216492695203,0.0537157108647688,0.09663997067779762,0.14001400140014,True,2019,171999,17,8.162352083243176,0.08580883527403474
tercile_event_study,exposure_composite_hybrid,poverty,high,2018,-1,yr_2018_x_high,0.008051646752318535,0.013815082799254535,-0.021235020483001556,0.03733831398763863,0.5681412903436347,0.6395639563956396,True,2019,171999,17,8.162352083243176,0.08580883527403474
tercile_event_study,exposure_composite_hybrid,poverty,high,2019,0,reference,0.0,0.0,0.0,0.0,,,True,2019,171999,17,8.162352083243176,0.08580883527403474
tercile_event_study,exposure_composite_hybrid,poverty,high,2021,2,yr_2021_x_high,-0.009111837423046608,0.012414723869823339,-0.0354298763430537,0.01720620149696049,0.47359576035605766,0.546954695469547,False,2019,171999,17,8.162352083243176,0.08580883527403474
tercile_event_study,exposure_composite_hybrid,poverty,high,2022,3,yr_2022_x_high,-0.006754259757984316,0.00969260952404962,-0.027301674051299508,0.013793154535330875,0.49589963132020154,0.5509550955095509,False,2019,171999,17,8.162352083243176,0.08580883527403474
tercile_event_study,exposure_composite_hybrid,poverty,high,2023,4,yr_2023_x_high,-0.010186162192009173,0.01308288394047616,-0.037920637186521236,0.017548312802502887,0.4475854585672474,0.444044404440444,False,2019,171999,17,8.162352083243176,0.08580883527403474
tercile_event_study,exposure_composite_hybrid,poverty,high,2024,5,yr_2024_x_high,-0.014794003807430388,0.014826782539400231,-0.046225378683106104,0.01663737106824533,0.3332334396969707,0.4138413841384138,False,2019,171999,17,8.162352083243176,0.08580883527403474
tercile_event_study,exposure_composite_hybrid,poverty,high,2025,6,yr_2025_x_high,-0.009691349599524732,0.011797105844307801,-0.03470009679434687,0.015317397595297407,0.42343289170789555,0.46494649464946497,False,2019,171999,17,8.162352083243176,0.08580883527403474
tercile_event_study,exposure_composite_hybrid,poverty,medium,2017,-2,yr_2017_x_medium,0.01991196338314328,0.01328991156173689,-0.008261390562764571,0.04808531732905113,0.15353060249938277,0.20592059205920593,True,2019,171999,17,8.162352083243176,0.08580883527403474
tercile_event_study,exposure_composite_hybrid,poverty,medium,2018,-1,yr_2018_x_medium,0.011797857640650628,0.009418379552502368,-0.00816821508277625,0.03176393036407751,0.2283358340839452,0.2721272127212721,True,2019,171999,17,8.162352083243176,0.08580883527403474
tercile_event_study,exposure_composite_hybrid,poverty,medium,2019,0,reference,0.0,0.0,0.0,0.0,,,True,2019,171999,17,8.162352083243176,0.08580883527403474
tercile_event_study,exposure_composite_hybrid,poverty,medium,2021,2,yr_2021_x_medium,-0.01611929731835452,0.01024941147677201,-0.037847079021862656,0.005608484385153611,0.13535087739181528,0.1626162616261626,False,2019,171999,17,8.162352083243176,0.08580883527403474
tercile_event_study,exposure_composite_hybrid,poverty,medium,2022,3,yr_2022_x_medium,-0.012564066504700069,0.009127903791065766,-0.031914358122162166,0.006786225112762029,0.1876422236431865,0.20992099209920992,False,2019,171999,17,8.162352083243176,0.08580883527403474
tercile_event_study,exposure_composite_hybrid,poverty,medium,2023,4,yr_2023_x_medium,-0.0121439734200736,0.012158803546305483,-0.037919485490076774,0.013631538649929578,0.3327676243109372,0.35993599359935996,False,2019,171999,17,8.162352083243176,0.08580883527403474
tercile_event_study,exposure_composite_hybrid,poverty,medium,2024,5,yr_2024_x_medium,-0.010403506876649031,0.013915778164247114,-0.03990363874982391,0.019096624996525847,0.4655449980905806,0.49914991499149913,False,2019,171999,17,8.162352083243176,0.08580883527403474
tercile_event_study,exposure_composite_hybrid,poverty,medium,2025,6,yr_2025_x_medium,-0.006959910935580752,0.010132257744356058,-0.028439337820916753,0.01451951594975525,0.5019771571580733,0.5231523152315232,False,2019,171999,17,8.162352083243176,0.08580883527403474
tercile_event_study,exposure_composite_hybrid,matdep,high,2017,-2,yr_2017_x_high,0.009840383433750509,0.00881137994743146,-0.008838907610261345,0.028519674477762363,0.2805785803671157,0.29772977297729775,True,2019,171999,17,12.097742155677222,0.016639038883874174
tercile_event_study,exposure_composite_hybrid,matdep,high,2018,-1,yr_2018_x_high,-0.005312050248689624,0.005721741149355877,-0.01744159963198146,0.006817499134602212,0.36699635877763925,0.45074507450745077,True,2019,171999,17,12.097742155677222,0.016639038883874174
tercile_event_study,exposure_composite_hybrid,matdep,high,2019,0,reference,0.0,0.0,0.0,0.0,,,True,2019,171999,17,12.097742155677222,0.016639038883874174
tercile_event_study,exposure_composite_hybrid,matdep,high,2021,2,yr_2021_x_high,0.009871361562430693,0.009505648183173942,-0.010279712393612637,0.03002243551847402,0.3144897831143969,0.37843784378437845,False,2019,171999,17,12.097742155677222,0.016639038883874174
tercile_event_study,exposure_composite_hybrid,matdep,high,2022,3,yr_2022_x_high,0.012639605194047304,0.007913976469225648,-0.004137275460976461,0.02941648584907107,0.12979706415443837,0.20672067206720673,False,2019,171999,17,12.097742155677222,0.016639038883874174
tercile_event_study,exposure_composite_hybrid,matdep,high,2023,4,yr_2023_x_high,0.008224884983029316,0.012790657041628442,-0.018890096660040476,0.03533986662609911,0.5293077589716795,0.6044604460446045,False,2019,171999,17,12.097742155677222,0.016639038883874174
tercile_event_study,exposure_composite_hybrid,matdep,high,2024,5,yr_2024_x_high,0.0015929713457407957,0.01013313185901807,-0.019888308579899334,0.023074251271380925,0.8770505817629972,0.9065906590659066,False,2019,171999,17,12.097742155677222,0.016639038883874174
tercile_event_study,exposure_composite_hybrid,matdep,high,2025,6,yr_2025_x_high,0.0045649905540759905,0.010914387900014902,-0.018572478192921942,0.027702459301073925,0.6813209927044994,0.7402740274027403,False,2019,171999,17,12.097742155677222,0.016639038883874174
tercile_event_study,exposure_composite_hybrid,matdep,medium,2017,-2,yr_2017_x_medium,-0.0005105705566398157,0.006692825496956643,-0.01469872679440133,0.013677585681121698,0.9401371289122795,0.9432943294329433,True,2019,171999,17,12.097742155677222,0.016639038883874174
tercile_event_study,exposure_composite_hybrid,matdep,medium,2018,-1,yr_2018_x_medium,-0.013881714328604633,0.004123517682361887,-0.022623181314876145,-0.0051402473423331225,0.003928415608329017,0.0053005300530053,True,2019,171999,17,12.097742155677222,0.016639038883874174
tercile_event_study,exposure_composite_hybrid,matdep,medium,2019,0,reference,0.0,0.0,0.0,0.0,,,True,2019,171999,17,12.097742155677222,0.016639038883874174
tercile_event_study,exposure_composite_hybrid,matdep,medium,2021,2,yr_2021_x_medium,-0.011268969048413919,0.007151780969530094,-0.02643006742459049,0.0038921293277626497,0.13466196567643296,0.18211821182118212,False,2019,171999,17,12.097742155677222,0.016639038883874174
tercile_event_study,exposure_composite_hybrid,matdep,medium,2022,3,yr_2022_x_medium,0.0015910799024642826,0.006695840560774195,-0.01260346798506155,0.015785627789990115,0.815190238495854,0.8402840284028403,False,2019,171999,17,12.097742155677222,0.016639038883874174
tercile_event_study,exposure_composite_hybrid,matdep,medium,2023,4,yr_2023_x_medium,-0.006397156449950795,0.008105486473032981,-0.023580020176899606,0.010785707276998019,0.4415122468993773,0.47794779477947796,False,2019,171999,17,12.097742155677222,0.016639038883874174
tercile_event_study,exposure_composite_hybrid,matdep,medium,2024,5,yr_2024_x_medium,-0.005708570939395727,0.007312700719860786,-0.02121080394704769,0.009793662068256236,0.44641197097075613,0.5228522852285229,False,2019,171999,17,12.097742155677222,0.016639038883874174
tercile_event_study,exposure_composite_hybrid,matdep,medium,2025,6,yr_2025_x_medium,0.0032745710754825117,0.00878169405331946,-0.015341788684289188,0.021890930835254212,0.714126974397397,0.7408740874087408,False,2019,171999,17,12.097742155677222,0.016639038883874174
tercile_event_study,exposure_composite_hybrid,poverty_gap,high,2017,-2,yr_2017_x_high,0.01456203203636169,0.00519706720427105,0.0035447417296185,0.02557932234310488,0.012789255924397391,0.04030403040304031,True,2019,171999,17,15.025436114540675,0.004648750663506546
tercile_event_study,exposure_composite_hybrid,poverty_gap,high,2018,-1,yr_2018_x_high,0.0005290922446079233,0.004570598521805679,-0.009160143782380769,0.010218328271596614,0.9092832272738729,0.9114911491149115,True,2019,171999,17,15.025436114540675,0.004648750663506546
tercile_event_study,exposure_composite_hybrid,poverty_gap,high,2019,0,reference,0.0,0.0,0.0,0.0,,,True,2019,171999,17,15.025436114540675,0.004648750663506546
tercile_event_study,exposure_composite_hybrid,poverty_gap,high,2021,2,yr_2021_x_high,-0.0014449614416679776,0.005967037260870085,-0.01409451535163715,0.011204592468301194,0.8117348626981045,0.83998399839984,False,2019,171999,17,15.025436114540675,0.004648750663506546
tercile_event_study,exposure_composite_hybrid,poverty_gap,high,2022,3,yr_2022_x_high,-0.0011894427689738399,0.00429697721597089,-0.010298627539743524,0.007919742001795843,0.78547075392036,0.7960796079607961,False,2019,171999,17,15.025436114540675,0.004648750663506546
tercile_event_study,exposure_composite_hybrid,poverty_gap,high,2023,4,yr_2023_x_high,-0.003644711120394147,0.005800965445477388,-0.01594220850886105,0.008652786268072754,0.5386773535658262,0.5699569956995699,False,2019,171999,17,15.025436114540675,0.004648750663506546
tercile_event_study,exposure_composite_hybrid,poverty_gap,high,2024,5,yr_2024_x_high,-0.0054902751164732,0.006428229034384983,-0.019117511911073855,0.008136961678127455,0.4056625744355151,0.44684468446844683,False,2019,171999,17,15.025436114540675,0.004648750663506546
tercile_event_study,exposure_composite_hybrid,poverty_gap,high,2025,6,yr_2025_x_high,-0.0033181342952627825,0.0053203468422609295,-0.014596765759866796,0.007960497169341229,0.5416350956373126,0.5840584058405841,False,2019,171999,17,15.025436114540675,0.004648750663506546
tercile_event_study,exposure_composite_hybrid,poverty_gap,medium,2017,-2,yr_2017_x_medium,0.017477120533207772,0.004946419672736002,0.006991179256802458,0.027963061809613086,0.002762335207142419,0.0214021402140214,True,2019,171999,17,15.025436114540675,0.004648750663506546
tercile_event_study,exposure_composite_hybrid,poverty_gap,medium,2018,-1,yr_2018_x_medium,0.006391416653242755,0.004963889656020321,-0.004131559333304295,0.016914392639789805,0.2162047542148431,0.26142614261426145,True,2019,171999,17,15.025436114540675,0.004648750663506546
