model,exposure_spec,outcome,year,rel_year,term,coef,se,ci_low,ci_high,pval_crv1,pval_wbt,pre_period,reference_year,n_obs,n_clusters,pretrend_wald_stat,pretrend_wald_p,lead_mean,lead_max_abs,post_mean,post_max_abs,lead_to_post_ratio,region_trends,expected_pre_years,estimated_pre_years,n_pretrend_terms_expected,n_pretrend_terms_estimated
alternative_exposure_event_study,exposure_composite_hybrid,poverty,2017,-2,year::2017:_exposure,0.005924833031224291,0.004220243727657205,-0.0030216840110414787,0.014871350073490061,0.17945842288772207,,True,2019,171933,17,3.3051045163414794,0.19156037264911605,0.006369678067941694,0.006814523104659096,0.003959792524736992,0.005545240194465822,1.2288959297849757,False,"2017,2018","2017,2018",2,2
alternative_exposure_event_study,exposure_composite_hybrid,poverty,2018,-1,year::2018:_exposure,0.006814523104659096,0.004010520740788772,-0.0016874010663757736,0.015316447275693965,0.10864499808515782,,True,2019,171933,17,3.3051045163414794,0.19156037264911605,0.006369678067941694,0.006814523104659096,0.003959792524736992,0.005545240194465822,1.2288959297849757,False,"2017,2018","2017,2018",2,2
alternative_exposure_event_study,exposure_composite_hybrid,poverty,2019,0,reference,0.0,0.0,0.0,0.0,,,True,2019,171933,17,3.3051045163414794,0.19156037264911605,0.006369678067941694,0.006814523104659096,0.003959792524736992,0.005545240194465822,1.2288959297849757,False,"2017,2018","2017,2018",2,2
alternative_exposure_event_study,exposure_composite_hybrid,poverty,2021,2,year::2021:_exposure,0.005545240194465822,0.0066157255941382,-0.00847947155074143,0.019569951939673074,0.4142703728288366,,False,2019,171933,17,3.3051045163414794,0.19156037264911605,0.006369678067941694,0.006814523104659096,0.003959792524736992,0.005545240194465822,1.2288959297849757,False,"2017,2018","2017,2018",2,2
alternative_exposure_event_study,exposure_composite_hybrid,poverty,2022,3,year::2022:_exposure,0.0030026299600532697,0.004577906562388558,-0.006702098420893992,0.01270735834100053,0.5212121348867191,,False,2019,171933,17,3.3051045163414794,0.19156037264911605,0.006369678067941694,0.006814523104659096,0.003959792524736992,0.005545240194465822,1.2288959297849757,False,"2017,2018","2017,2018",2,2
alternative_exposure_event_study,exposure_composite_hybrid,poverty,2023,4,year::2023:_exposure,0.0049945345107006225,0.0056474994453989775,-0.006977629490949766,0.01696669851235101,0.38958781590912794,,False,2019,171933,17,3.3051045163414794,0.19156037264911605,0.006369678067941694,0.006814523104659096,0.003959792524736992,0.005545240194465822,1.2288959297849757,False,"2017,2018","2017,2018",2,2
alternative_exposure_event_study,exposure_composite_hybrid,poverty,2024,5,year::2024:_exposure,0.004126661386270699,0.005206624698557279,-0.0069108899032571435,0.015164212675798542,0.4396177875266136,,False,2019,171933,17,3.3051045163414794,0.19156037264911605,0.006369678067941694,0.006814523104659096,0.003959792524736992,0.005545240194465822,1.2288959297849757,False,"2017,2018","2017,2018",2,2
alternative_exposure_event_study,exposure_composite_hybrid,poverty,2025,6,year::2025:_exposure,0.0021298965721945457,0.004785214479561216,-0.008014304960937553,0.012274098105326646,0.6622106550710325,,False,2019,171933,17,3.3051045163414794,0.19156037264911605,0.006369678067941694,0.006814523104659096,0.003959792524736992,0.005545240194465822,1.2288959297849757,False,"2017,2018","2017,2018",2,2
alternative_exposure_event_study,exposure_composite_hybrid,matdep,2017,-2,year::2017:_exposure,0.003611246639514072,0.0036680224973205324,-0.004164613690218505,0.01138710696924665,0.3395138613536761,,True,2019,171933,17,1.011909271642831,0.6029297222950604,0.0009371583765698188,0.003611246639514072,0.009168414639551887,0.011474577630209107,0.31471717355475876,False,"2017,2018","2017,2018",2,2
alternative_exposure_event_study,exposure_composite_hybrid,matdep,2018,-1,year::2018:_exposure,-0.0017369298863744345,0.0030041726401310643,-0.008105491385963785,0.004631631613214915,0.571196478816683,,True,2019,171933,17,1.011909271642831,0.6029297222950604,0.0009371583765698188,0.003611246639514072,0.009168414639551887,0.011474577630209107,0.31471717355475876,False,"2017,2018","2017,2018",2,2
alternative_exposure_event_study,exposure_composite_hybrid,matdep,2019,0,reference,0.0,0.0,0.0,0.0,,,True,2019,171933,17,1.011909271642831,0.6029297222950604,0.0009371583765698188,0.003611246639514072,0.009168414639551887,0.011474577630209107,0.31471717355475876,False,"2017,2018","2017,2018",2,2
alternative_exposure_event_study,exposure_composite_hybrid,matdep,2021,2,year::2021:_exposure,0.009933291063154171,0.0029519431650049713,0.00367545110466017,0.016191131021648174,0.003940639244206956,,False,2019,171933,17,1.011909271642831,0.6029297222950604,0.0009371583765698188,0.003611246639514072,0.009168414639551887,0.011474577630209107,0.31471717355475876,False,"2017,2018","2017,2018",2,2
alternative_exposure_event_study,exposure_composite_hybrid,matdep,2022,3,year::2022:_exposure,0.010183256610037092,0.0028348469283931933,0.004173649584055265,0.01619286363601892,0.0024392223340303776,,False,2019,171933,17,1.011909271642831,0.6029297222950604,0.0009371583765698188,0.003611246639514072,0.009168414639551887,0.011474577630209107,0.31471717355475876,False,"2017,2018","2017,2018",2,2
alternative_exposure_event_study,exposure_composite_hybrid,matdep,2023,4,year::2023:_exposure,0.011474577630209107,0.004086315055649243,0.0028119766894506813,0.020137178570967532,0.01262982637384491,,False,2019,171933,17,1.011909271642831,0.6029297222950604,0.0009371583765698188,0.003611246639514072,0.009168414639551887,0.011474577630209107,0.31471717355475876,False,"2017,2018","2017,2018",2,2
alternative_exposure_event_study,exposure_composite_hybrid,matdep,2024,5,year::2024:_exposure,0.006875256464018492,0.0030357704800820554,0.0004397105360730907,0.013310802391963892,0.037768757581357004,,False,2019,171933,17,1.011909271642831,0.6029297222950604,0.0009371583765698188,0.003611246639514072,0.009168414639551887,0.011474577630209107,0.31471717355475876,False,"2017,2018","2017,2018",2,2
