model,exposure_spec,exposure_label,outcome,outcome_label,year,rel_year,term,coef,se,ci_low,ci_high,ci_95,pval_crv1,pval_wbt,pretrend_wald_p,pre_period,reference_year,n_obs,n_clusters,coef_rounded,se_rounded,pval_crv1_rounded,pval_wbt_rounded
alternative_exposure_event_study,exposure_admin,Administrative,poverty_gap,Poverty gap,2019,0,reference,0.0,0.0,0.0,0.0,"[0.0, 0.0]",,,0.0002796748757040579,True,2019,171933,17,0.0,0.0,,
alternative_exposure_event_study,exposure_admin,Administrative,poverty_gap,Poverty gap,2021,2,year::2021:_exposure,0.0010456857539183166,0.0018132610355506185,-0.002798255924216859,0.0048896274320534925,"[-0.0028, 0.0049]",0.5721750907046528,,0.0002796748757040579,False,2019,171933,17,0.001,0.0018,0.5722,
alternative_exposure_event_study,exposure_admin,Administrative,poverty_gap,Poverty gap,2022,3,year::2022:_exposure,0.0006379580045329716,0.00192581992372945,-0.0034445978571269616,0.004720513866192905,"[-0.0034, 0.0047]",0.7447428925736728,,0.0002796748757040579,False,2019,171933,17,0.0006,0.0019,0.7447,
alternative_exposure_event_study,exposure_admin,Administrative,poverty_gap,Poverty gap,2023,4,year::2023:_exposure,0.000894588064556336,0.002626555491486017,-0.004673460840543558,0.00646263696965623,"[-0.0047, 0.0065]",0.7378405047015015,,0.0002796748757040579,False,2019,171933,17,0.0009,0.0026,0.7378,
alternative_exposure_event_study,exposure_admin,Administrative,poverty_gap,Poverty gap,2024,5,year::2024:_exposure,0.0019520928123265466,0.0024808743796230523,-0.0033071259317386044,0.007211311556391698,"[-0.0033, 0.0072]",0.44286542727710687,,0.0002796748757040579,False,2019,171933,17,0.002,0.0025,0.4429,
alternative_exposure_event_study,exposure_admin,Administrative,poverty_gap,Poverty gap,2025,6,year::2025:_exposure,0.000465673706073785,0.0016341935923000024,-0.0029986619501964082,0.0039300093623439785,"[-0.003, 0.0039]",0.7793331113073401,,0.0002796748757040579,False,2019,171933,17,0.0005,0.0016,0.7793,
alternative_exposure_event_study,exposure_admin,Administrative,poverty_gap_sq,Squared poverty gap,2017,-2,year::2017:_exposure,0.002291726284865078,0.000951718140603716,0.00027417395523426143,0.004309278614495895,"[0.0003, 0.0043]",0.028462947790350857,,0.010162695455304254,True,2019,171933,17,0.0023,0.001,0.0285,
alternative_exposure_event_study,exposure_admin,Administrative,poverty_gap_sq,Squared poverty gap,2018,-1,year::2018:_exposure,0.0003598879275152112,0.0016035034844046746,-0.003039387606394005,0.003759163461424427,"[-0.003, 0.0038]",0.82525714819916,,0.010162695455304254,True,2019,171933,17,0.0004,0.0016,0.8253,
alternative_exposure_event_study,exposure_admin,Administrative,poverty_gap_sq,Squared poverty gap,2019,0,reference,0.0,0.0,0.0,0.0,"[0.0, 0.0]",,,0.010162695455304254,True,2019,171933,17,0.0,0.0,,
alternative_exposure_event_study,exposure_admin,Administrative,poverty_gap_sq,Squared poverty gap,2021,2,year::2021:_exposure,0.0010091372654140128,0.0017657666960414057,-0.002734120910712569,0.004752395441540595,"[-0.0027, 0.0048]",0.5756012525615954,,0.010162695455304254,False,2019,171933,17,0.001,0.0018,0.5756,
