model,exposure_spec,outcome,year,rel_year,term,coef,se,ci_low,ci_high,pval_crv1,pval_wbt,pre_period,reference_year,n_obs,n_clusters,pretrend_wald_stat,pretrend_wald_p,lead_mean,lead_max_abs,post_mean,post_max_abs,lead_to_post_ratio,region_trends
primary_continuous_event_study,exposure_composite_hybrid,poverty,2017,-2,yr_2017_x_exp,0.011287686627831531,0.005101719645043682,0.00047252411716225233,0.02210284913850081,0.04181725142561743,0.04220422042204221,True,2019,171999,17,4.905870808597922,0.08604065134967041,0.008985645655059517,0.011287686627831531,-0.0007627839593005477,0.0017765759622393794,6.353618909491136,False
primary_continuous_event_study,exposure_composite_hybrid,poverty,2018,-1,yr_2018_x_exp,0.006683604682287504,0.004869772384971302,-0.0036398516026144865,0.017007060967189496,0.18885248641387298,0.23342334233423342,True,2019,171999,17,4.905870808597922,0.08604065134967041,0.008985645655059517,0.011287686627831531,-0.0007627839593005477,0.0017765759622393794,6.353618909491136,False
primary_continuous_event_study,exposure_composite_hybrid,poverty,2019,0,reference,0.0,0.0,0.0,0.0,,,True,2019,171999,17,4.905870808597922,0.08604065134967041,0.008985645655059517,0.011287686627831531,-0.0007627839593005477,0.0017765759622393794,6.353618909491136,False
primary_continuous_event_study,exposure_composite_hybrid,poverty,2021,2,yr_2021_x_exp,0.0004642372021727822,0.0053155345282192915,-0.010804192612392844,0.01173266701673841,0.9314881970002067,0.9363936393639364,False,2019,171999,17,4.905870808597922,0.08604065134967041,0.008985645655059517,0.011287686627831531,-0.0007627839593005477,0.0017765759622393794,6.353618909491136,False
primary_continuous_event_study,exposure_composite_hybrid,poverty,2022,3,yr_2022_x_exp,-0.0006085825133534205,0.004583889292632562,-0.010325993715848757,0.009108828689141917,0.8960342020985994,0.9051905190519052,False,2019,171999,17,4.905870808597922,0.08604065134967041,0.008985645655059517,0.011287686627831531,-0.0007627839593005477,0.0017765759622393794,6.353618909491136,False
primary_continuous_event_study,exposure_composite_hybrid,poverty,2023,4,yr_2023_x_exp,-0.00016433919332112235,0.005601759787333791,-0.012039539451454553,0.011710861064812308,0.9769585878971454,0.9794979497949795,False,2019,171999,17,4.905870808597922,0.08604065134967041,0.008985645655059517,0.011287686627831531,-0.0007627839593005477,0.0017765759622393794,6.353618909491136,False
primary_continuous_event_study,exposure_composite_hybrid,poverty,2024,5,yr_2024_x_exp,-0.0017286593297615987,0.006809250374749334,-0.016163625282917024,0.012706306623393828,0.8028300998368225,0.8197819781978197,False,2019,171999,17,4.905870808597922,0.08604065134967041,0.008985645655059517,0.011287686627831531,-0.0007627839593005477,0.0017765759622393794,6.353618909491136,False
primary_continuous_event_study,exposure_composite_hybrid,poverty,2025,6,yr_2025_x_exp,-0.0017765759622393794,0.005937834171738455,-0.01436422208880478,0.010811070164326022,0.7686419329018674,0.8120812081208121,False,2019,171999,17,4.905870808597922,0.08604065134967041,0.008985645655059517,0.011287686627831531,-0.0007627839593005477,0.0017765759622393794,6.353618909491136,False
primary_continuous_event_study,exposure_composite_hybrid,matdep,2017,-2,yr_2017_x_exp,0.0059160784733764855,0.003995760755719225,-0.0025545559270930256,0.014386712873845997,0.1581386925208832,0.15321532153215323,True,2019,171999,17,2.1956156318774602,0.3336015988014521,0.002174617989806313,0.0059160784733764855,0.007614939197253689,0.009662454933647447,0.6122748839712565,False
primary_continuous_event_study,exposure_composite_hybrid,matdep,2018,-1,yr_2018_x_exp,-0.0015668424937638594,0.002659968681292019,-0.007205724196997383,0.004072039209469664,0.5640556453132153,0.5878587858785879,True,2019,171999,17,2.1956156318774602,0.3336015988014521,0.002174617989806313,0.0059160784733764855,0.007614939197253689,0.009662454933647447,0.6122748839712565,False
primary_continuous_event_study,exposure_composite_hybrid,matdep,2019,0,reference,0.0,0.0,0.0,0.0,,,True,2019,171999,17,2.1956156318774602,0.3336015988014521,0.002174617989806313,0.0059160784733764855,0.007614939197253689,0.009662454933647447,0.6122748839712565,False
primary_continuous_event_study,exposure_composite_hybrid,matdep,2021,2,yr_2021_x_exp,0.00844761353298444,0.0027454152370442776,0.0026275932234114986,0.01426763384255738,0.007219459784644444,0.04570457045704571,False,2019,171999,17,2.1956156318774602,0.3336015988014521,0.002174617989806313,0.0059160784733764855,0.007614939197253689,0.009662454933647447,0.6122748839712565,False
primary_continuous_event_study,exposure_composite_hybrid,matdep,2022,3,yr_2022_x_exp,0.009279454728552699,0.002311816439496548,0.004378622807637154,0.014180286649468243,0.0010022569383285607,0.028902890289028902,False,2019,171999,17,2.1956156318774602,0.3336015988014521,0.002174617989806313,0.0059160784733764855,0.007614939197253689,0.009662454933647447,0.6122748839712565,False
primary_continuous_event_study,exposure_composite_hybrid,matdep,2023,4,yr_2023_x_exp,0.009662454933647447,0.003958848705616703,0.0012700705837953939,0.018054839283499498,0.026662948878917403,0.13571357135713571,False,2019,171999,17,2.1956156318774602,0.3336015988014521,0.002174617989806313,0.0059160784733764855,0.007614939197253689,0.009662454933647447,0.6122748839712565,False
primary_continuous_event_study,exposure_composite_hybrid,matdep,2024,5,yr_2024_x_exp,0.00457166106149524,0.0030987751619804397,-0.001997448825482296,0.011140770948472776,0.15953536509205457,0.2573257325732573,False,2019,171999,17,2.1956156318774602,0.3336015988014521,0.002174617989806313,0.0059160784733764855,0.007614939197253689,0.009662454933647447,0.6122748839712565,False
primary_continuous_event_study,exposure_composite_hybrid,matdep,2025,6,yr_2025_x_exp,0.006113511729588627,0.003810976919955874,-0.0019653984382357248,0.014192421897412977,0.12822783906488655,0.34133413341334135,False,2019,171999,17,2.1956156318774602,0.3336015988014521,0.002174617989806313,0.0059160784733764855,0.007614939197253689,0.009662454933647447,0.6122748839712565,False
primary_continuous_event_study,exposure_composite_hybrid,poverty_gap,2017,-2,yr_2017_x_exp,0.00631623055285403,0.0021892320439539114,0.0016752659416511542,0.010957195164056906,0.01076799986996857,0.08720872087208721,True,2019,171999,17,11.274884676000827,0.0035619670734311566,0.0032067129529080897,0.00631623055285403,0.00019111245228022673,0.0012866805662026218,4.908934446328906,False
