model,exposure_spec,outcome,pretrend_wald_stat,pretrend_wald_p,lead_mean,lead_max_abs,n_obs,n_clusters
continuous_event_study,exposure_admin,matdep,4.203689402097099,0.12223074097815795,0.000554450226184887,0.004439245339799386,171999,17
continuous_event_study,exposure_admin,poverty,4.47750058393763,0.1065916295936624,0.008274316797939836,0.009641100864150315,171999,17
continuous_event_study,exposure_admin,poverty_gap,17.75729062865085,0.00013933278990404665,0.003651541889811557,0.006029678925055741,171999,17
continuous_event_study,exposure_admin,poverty_gap_sq,15.9820053381479,0.0003384945151725479,0.002159050263965823,0.004029151099473111,171999,17
continuous_event_study,exposure_composite_hybrid,matdep,2.195615629620923,0.33360159917784427,0.0021746179898062797,0.005916078473376452,171999,17
continuous_event_study,exposure_composite_hybrid,poverty,4.9058708538317415,0.08604064940369678,0.00898564565505949,0.011287686627831564,171999,17
continuous_event_study,exposure_composite_hybrid,poverty_gap,11.274884541115236,0.003561967313660182,0.0032067129529080533,0.00631623055285403,171999,17
continuous_event_study,exposure_composite_hybrid,poverty_gap_sq,6.52872341475139,0.038221323688320125,0.001669271565981813,0.004013738491240331,171999,17
continuous_event_study,exposure_composite_sim,matdep,2.218265919734324,0.32984482583077707,0.0026217331038704862,0.006741314734157154,160572,15
continuous_event_study,exposure_composite_sim,poverty,3.9327804585505564,0.1399611731786606,0.009252084036656866,0.010415940600509434,160572,15
continuous_event_study,exposure_composite_sim,poverty_gap,5.268528575563716,0.07177175334516993,0.002918112864961684,0.005577048958456259,160572,15
continuous_event_study,exposure_composite_sim,poverty_gap_sq,3.1162387673407133,0.21053162835675426,0.0014404722366081772,0.003478117976378804,160572,15
continuous_event_study,exposure_cov_hybrid,matdep,2.3733199575798833,0.3052390683389695,0.0017690107184709007,0.004687334774593576,171999,17
continuous_event_study,exposure_cov_hybrid,poverty,6.736895625282449,0.03444305795250169,0.009538516460752926,0.010804743411861054,171999,17
continuous_event_study,exposure_cov_hybrid,poverty_gap,16.855580402376454,0.000218704249183989,0.0034145196345090625,0.005938118818350246,171999,17
continuous_event_study,exposure_cov_hybrid,poverty_gap_sq,10.257544611870106,0.005923828660502305,0.0017711191765599802,0.0037208495829574705,171999,17
continuous_event_study,exposure_exp_hybrid,matdep,1.5206692051521675,0.46750997079546985,0.0016249301917364003,0.004599129408300708,171999,17
continuous_event_study,exposure_exp_hybrid,poverty,2.3309995698732373,0.311766806735082,0.002393022703575297,0.005245954448314393,171999,17
continuous_event_study,exposure_exp_hybrid,poverty_gap,7.600077316834829,0.022369907054245335,0.0008382022347689576,0.0031388594907016273,171999,17
continuous_event_study,exposure_exp_hybrid,poverty_gap_sq,5.411007114831602,0.06683665927585733,0.00045068576995630513,0.0020946566096354696,171999,17
