model,exposure_spec,outcome,group,term,coef,se,ci_low,ci_high,pval_crv1,pval_wbt,fake_treatment_year,n_obs,n_clusters,verdict,joint_wald_stat,joint_wald_p
tercile_placebo,exposure_composite_hybrid,poverty,medium,post_fake_x_medium,-0.015977098535255616,0.010055440220421522,-0.03729367954452974,0.005339482474018508,0.13164532573897825,0.1866186618661866,2019,42249,17,consistent_with_parallel_pretrends,2.7856239510227394,0.24837589479708538
tercile_placebo,exposure_composite_hybrid,poverty,high,post_fake_x_high,-0.015085671771571624,0.012870402930932702,-0.04236970714796863,0.012198363604825378,0.2583062565441603,0.33583358335833585,2019,42249,17,consistent_with_parallel_pretrends,2.7856239510227394,0.24837589479708538
tercile_placebo,exposure_composite_hybrid,matdep,medium,post_fake_x_medium,0.006916404422167404,0.004104711348440746,-0.001785194917165756,0.015618003761500562,0.11139187224800362,0.1489148914891489,2019,42249,17,consistent_with_parallel_pretrends,3.3524942040349877,0.18707473266968325
tercile_placebo,exposure_composite_hybrid,matdep,high,post_fake_x_high,-0.002062233486474767,0.005624572202483346,-0.013985793904371775,0.009861326931422242,0.7186857889864582,0.7758775877587759,2019,42249,17,consistent_with_parallel_pretrends,3.3524942040349877,0.18707473266968325
tercile_placebo,exposure_composite_hybrid,poverty_gap,medium,post_fake_x_medium,-0.012149243711296562,0.004114410916013815,-0.020871405215328025,-0.003427082207265099,0.009354844647107674,0.0313031303130313,2019,42249,17,pretrend_concern,9.710069474741973,0.007789062777048622
tercile_placebo,exposure_composite_hybrid,poverty_gap,high,post_fake_x_high,-0.00724888337184578,0.003972992098763976,-0.015671250375779707,0.001173483632088146,0.08680012542633486,0.11241124112411241,2019,42249,17,consistent_with_parallel_pretrends,9.710069474741973,0.007789062777048622
tercile_placebo,exposure_composite_hybrid,poverty_gap_sq,medium,post_fake_x_medium,-0.009903126507359784,0.002976081414413696,-0.016212137268689267,-0.0035941157460303037,0.004264212435753256,0.0195019501950195,2019,42249,17,pretrend_concern,15.139094176210948,0.0005159260647560792
tercile_placebo,exposure_composite_hybrid,poverty_gap_sq,high,post_fake_x_high,-0.005436452677879388,0.0019774905439853105,-0.009628545361233769,-0.0012443599945250062,0.014258449191450806,0.016301630163016303,2019,42249,17,pretrend_concern,15.139094176210948,0.0005159260647560792
tercile_placebo,exposure_exp_hybrid,poverty,medium,post_fake_x_medium,0.0064306878182294165,0.011081080875633397,-0.017060154251125125,0.029921529887583957,0.5697755258325974,0.6190619061906191,2019,42249,17,consistent_with_parallel_pretrends,0.7773212666135393,0.6779643094837339
tercile_placebo,exposure_exp_hybrid,poverty,high,post_fake_x_high,-0.0025472477348993917,0.014236846841568515,-0.03272801479854187,0.027633519328743087,0.8602470169648542,0.893989398939894,2019,42249,17,consistent_with_parallel_pretrends,0.7773212666135393,0.6779643094837339
