variable,mean_low,n_hh_low,mean_medium,n_hh_medium,mean_high,n_hh_high,mean_full,n_hh_full,diff_high_low
matdep,0.03615801659563356,8663,0.03621175093395792,12334,0.06113000590669176,21252,0.04971394701347736,42249,0.0249719893110582
poverty,0.13135435554271452,8663,0.1711778636732658,12334,0.23635171015379078,21252,0.20126396530114601,42249,0.10499735461107626
income_net_annual,32113.19126174622,8663,29784.175037865403,12334,26584.063527694147,21252,28356.14603354159,42249,-5529.127734052072
poverty_gap,0.052725760516483096,8663,0.06518876526281335,12334,0.08563857813347797,21252,0.0746332695637534,42249,0.032912817616994876
poverty_gap_sq,0.03285837827710414,8663,0.039143841167675233,12334,0.048603527524004375,21252,0.04344412371432292,42249,0.015745149246900236
hh_size,2.397811984027639,8663,2.4572980521314394,12334,2.5304707287358856,21252,2.4891297591685504,42249,0.1326587447082468
