year,poverty,n_poverty,matdep,n_matdep,poverty_gap,n_poverty_gap,poverty_gap_sq,n_poverty_gap_sq
2017,0.20516778673916355,13516,0.04963332908698381,13516,0.0812318133211412,13516,0.0486882695805029,13516
2018,0.2044649169242245,13125,0.05336545333673652,13125,0.07244370253910458,13125,0.04149501857503847,13125
2019,0.19420919501709535,15608,0.046163257493642,15608,0.07026540700711015,15608,0.04018056479152307,15608
2021,0.21443600846258334,20636,0.07244771628787726,20636,0.07873414262223966,20636,0.0467748312871612,20636
2022,0.20320057533623817,23940,0.0773063240455453,23940,0.06879127611926268,23940,0.03813284071111169,23940
2023,0.20041824882647524,26831,0.0848238688192225,26831,0.06742186230818104,26831,0.03828170347868346,26831
2024,0.19337002852713037,29368,0.07949898044586552,29368,0.06616835015696909,29368,0.0380063433858876,29368
2025,0.1927438780996399,28973,0.07436861665795529,28973,0.0644849637661294,28973,0.03632272753574698,28973
