outcome,exposure_spec,coef,se,ci_low,ci_high,pval_cluster,pval_wbt,n_obs,n_clusters,r2_within,label
poverty_gap,exposure_composite_hybrid,-8.3903615010502e-06,0.0020314169848761362,-0.004314801992668035,0.0042980212696659345,0.9967555664084817,0.9961996199619962,171999,17,,baseline_2021_2025
poverty_gap,exposure_exp_hybrid,0.0008410890563381553,0.0019386089911463515,-0.003268578417110966,0.004950756529787276,0.6701818936708446,0.6975697569756976,171999,17,,baseline_2021_2025
poverty_gap,exposure_cov_hybrid,-0.0004726103686056245,0.0018465332607128509,-0.004387086013179099,0.0034418652759678507,0.8012550128826048,0.7752775277527753,171999,17,,baseline_2021_2025
poverty_gap,exposure_composite_sim,-4.3148051361466364e-05,0.0023056210855261798,-0.004988213462980613,0.004901917360257681,0.9853331297649344,0.9842984298429843,160572,15,,baseline_2021_2025
poverty_gap,exposure_admin,-0.0008826753566572646,0.002059541934799492,-0.005248709218207103,0.0034833585048925737,0.6739440627189683,0.6417641764176417,171999,17,,baseline_2021_2025
poverty_gap_sq,exposure_composite_hybrid,0.0020279741562060994,0.0019953659125624646,-0.0022020126157205238,0.0062579609281327225,0.3245898529138602,0.461046104610461,171999,17,,baseline_2021_2025
poverty_gap_sq,exposure_exp_hybrid,0.002443703868105606,0.001680977648926043,-0.0011198095577251987,0.00600721729393641,0.16535224889641675,0.22752275227522753,171999,17,,baseline_2021_2025
poverty_gap_sq,exposure_cov_hybrid,0.0011188823447601376,0.0018624580591211103,-0.0028293523643480364,0.005067117053868312,0.5564179806940186,0.7070707070707071,171999,17,,baseline_2021_2025
poverty_gap_sq,exposure_composite_sim,0.0015380185155425999,0.002292338220302492,-0.0033785579835673755,0.006454595014652575,0.5131774359129739,0.5772577257725773,160572,15,,baseline_2021_2025
poverty_gap_sq,exposure_admin,0.0006177431194431012,0.0021021879128041245,-0.0038386961768692314,0.0050741824157554336,0.7726447376655545,0.8646864686468647,171999,17,,baseline_2021_2025
poverty_gap,exposure_composite_hybrid,-0.0001046082572079429,0.0021601232244471687,-0.0046838649276844,0.0044746484132685135,0.9619753060359892,0.9641964196419642,151363,17,,covid_robust_2022_2025
poverty_gap,exposure_exp_hybrid,0.0006388070109052584,0.0020607435196756596,-0.0037297740967910317,0.0050073881186015485,0.7605706733295365,0.7836783678367837,151363,17,,covid_robust_2022_2025
poverty_gap,exposure_cov_hybrid,-0.00047993129536254845,0.0019464082436740924,-0.004606132445575191,0.0036462698548500945,0.8083744861760294,0.7880788078807881,151363,17,,covid_robust_2022_2025
poverty_gap,exposure_composite_sim,-0.00017444843590084556,0.0024276690351290897,-0.005381280665115977,0.0050323837933142854,0.9437310646960653,0.9461946194619462,141345,15,,covid_robust_2022_2025
poverty_gap,exposure_admin,-0.0008356400322900654,0.002145078450747717,-0.005383003207275469,0.0037117231426953387,0.7019971799793767,0.6707670767076708,151363,17,,covid_robust_2022_2025
poverty_gap_sq,exposure_composite_hybrid,0.0019832692723873724,0.002234776330393392,-0.002754244912987808,0.006720783457762553,0.38797857870011776,0.5138513851385138,151363,17,,covid_robust_2022_2025
poverty_gap_sq,exposure_exp_hybrid,0.0022129538454280576,0.0018875009281256868,-0.0017883693743906224,0.0062142770652467375,0.25818766849483676,0.3063306330633063,151363,17,,covid_robust_2022_2025
poverty_gap_sq,exposure_cov_hybrid,0.0011889618289083637,0.0020731862419519206,-0.0032059966716781107,0.005583920329494838,0.5742828825160666,0.7358735873587359,151363,17,,covid_robust_2022_2025
poverty_gap_sq,exposure_composite_sim,0.0013966205139520347,0.002544222038824487,-0.004060193046025819,0.0068534340739298885,0.5916958407028252,0.6516651665166516,141345,15,,covid_robust_2022_2025
poverty_gap_sq,exposure_admin,0.0006182588511853328,0.0023447991363084197,-0.004352493263484306,0.0055890109658549725,0.7953980998368833,0.8836883688368837,151363,17,,covid_robust_2022_2025
