year,coef,se,ci_low,ci_high,pval,pval_wbt
2017,-0.00043789738335687746,0.0035764836459984605,-0.008108691896850108,0.0072328971301363525,0.9025521720972195,0.772077207720772
2018,-0.001364071175888898,0.003313598733398294,-0.008471033628382856,0.005742891276605059,0.6805897265880972,0.39503950395039505
2019,0.0,0.0,0.0,0.0,,
2021,0.005189798057767251,0.0021683707745788756,0.0005391052859804613,0.00984049082955404,0.016692623034944398,0.5234523452345234
2022,0.002387026986427734,0.0017218361683235244,-0.0013059443061679602,0.006079998279023429,0.16564725023976556,0.8427842784278428
2023,0.0008894412309860046,0.002893793457277955,-0.005317128453767391,0.007096010915739401,0.7585680890489134,0.8347834783478347
2024,0.0030891357983515856,0.002762602965362146,-0.0028360582657593948,0.009014329862462566,0.2634826411360566,0.7828782878287829
2025,0.003184591943603222,0.004148354826449633,-0.005712744264925521,0.012081928152131965,0.4426797691366642,0.9784978497849784
