outcome,exposure_spec,coef,se,ci_low,ci_high,pval_cluster,pval_wbt,n_obs,n_clusters,r2_within,label
poverty_gap,exposure_composite_hybrid,-0.0016851883010851366,0.002732339775455532,-0.007545474278350483,0.00417509767618021,0.5472947248927227,0.566956695669567,160572,15,,baseline_2021_2025
poverty_gap,exposure_exp_hybrid,0.00034847721392322796,0.00271884686859866,-0.005482869356334185,0.006179823784180641,0.8998366321549374,0.902990299029903,160572,15,,baseline_2021_2025
poverty_gap,exposure_cov_hybrid,-0.0022776146736207723,0.002482796949733641,-0.007602684520212415,0.00304745517297087,0.3744882223761219,0.41824182418241823,160572,15,,baseline_2021_2025
poverty_gap,exposure_composite_sim,-0.0009359113636172667,0.003053137422703817,-0.007484239864216086,0.005612417136981553,0.7637045150316104,0.785078507850785,160572,15,,baseline_2021_2025
poverty_gap,exposure_admin,-0.00660562756221783,0.006100999855048422,-0.019690970834314137,0.006479715709878477,0.29723231787399373,0.2638263826382638,160572,15,,baseline_2021_2025
poverty_gap_sq,exposure_composite_hybrid,0.00024768816102593096,0.0023616523925885998,-0.0048175524520873295,0.005312928774139191,0.9179594711348924,0.9191919191919192,160572,15,,baseline_2021_2025
poverty_gap_sq,exposure_exp_hybrid,0.0011838999562734178,0.002156451135248631,-0.0034412277317530824,0.005809027644299918,0.59165194811251,0.6135613561356136,160572,15,,baseline_2021_2025
poverty_gap_sq,exposure_cov_hybrid,-0.00036533353395109294,0.002213126808826094,-0.00511201845219531,0.004381351384293124,0.8712442525451098,0.8218821882188219,160572,15,,baseline_2021_2025
poverty_gap_sq,exposure_composite_sim,0.0006955880704508654,0.002510972595753295,-0.0046899125266472155,0.006081088667548946,0.7858134031227615,0.7929792979297929,160572,15,,baseline_2021_2025
poverty_gap_sq,exposure_admin,-0.0020317632158963705,0.005572186404812131,-0.013982914439533997,0.009919388007741255,0.7208394965404687,0.6671667166716672,160572,15,,baseline_2021_2025
