year,rel_year,coef,se,pval_crv1,pval_wbt,ci_low,ci_high,pre_period,pretrend_wald_stat,pretrend_wald_p
2017,-2,0.011287686627831564,0.0051017196262265,0.041817250762642644,0.04220422042204221,0.0004720410202313837,0.022103332235431747,True,4.9058708538317415,0.08604064940369678
2018,-1,0.006683604682287413,0.004869772437329725,0.18885249091455214,0.23342334233423342,-0.003640312884851605,0.01700752224942643,True,4.9058708538317415,0.08604064940369678
2019,0,0.0,0.0,,,0.0,0.0,True,4.9058708538317415,0.08604064940369678
2021,2,0.00046423720217272425,0.005315534539556429,0.9314881971459452,0.9363936393639364,-0.010804696021686907,0.011733170426032355,False,4.9058708538317415,0.08604064940369678
2022,3,-0.0006085825133533613,0.0045838892724544885,0.8960342016438048,0.9051905190519052,-0.010326427770956877,0.009109262744250154,False,4.9058708538317415,0.08604064940369678
2023,4,-0.00016433919332110524,0.005601759786844049,0.9769585878951341,0.9794979497949795,-0.01204006994143049,0.01171139155478828,False,4.9058708538317415,0.08604064940369678
2024,5,-0.0017286593297615959,0.006809250355675373,0.8028300992969761,0.8197819781978197,-0.016164270083793387,0.012706951424270196,False,4.9058708538317415,0.08604064940369678
2025,6,-0.00177657596223929,0.005937834173333623,0.7686419329620928,0.8120812081208121,-0.014364784409706573,0.010811632485227991,False,4.9058708538317415,0.08604064940369678
