year,rel_year,coef,se,pval_crv1,pval_wbt,ci_low,ci_high,pre_period,model,pretrend_wald_stat,pretrend_wald_p,lead_mean,lead_max_abs
2017,-2,0.009641100864150315,0.004892276510820628,0.0663156600896948,0.04950495049504951,-0.0007305253387894176,0.02001272706709005,True,baseline_exposure_admin,4.47750058393763,0.1065916295936624,0.008274316797939836,0.009641100864150315
2018,-1,0.006907532731729357,0.003512506303618362,0.0668282898381174,0.14661466146614663,-0.0005389806319415708,0.014354046095400284,True,baseline_exposure_admin,4.47750058393763,0.1065916295936624,0.008274316797939836,0.009641100864150315
2019,0,0.0,0.0,,,0.0,0.0,True,baseline_exposure_admin,4.47750058393763,0.1065916295936624,0.008274316797939836,0.009641100864150315
2021,2,-0.0016655165373125488,0.003163989287150008,0.605832920276659,0.6962696269626962,-0.008373173826070565,0.005042140751445469,False,baseline_exposure_admin,4.47750058393763,0.1065916295936624,0.008274316797939836,0.009641100864150315
2022,3,-0.0021460282014770238,0.0026668919939169915,0.4327923428400964,0.5022502250225023,-0.007799839228581046,0.0035077828256269983,False,baseline_exposure_admin,4.47750058393763,0.1065916295936624,0.008274316797939836,0.009641100864150315
2023,4,-0.0010206122682865951,0.00459107589758152,0.8268904364162619,0.8275827582758276,-0.010753693171159418,0.008712468634586228,False,baseline_exposure_admin,4.47750058393763,0.1065916295936624,0.008274316797939836,0.009641100864150315
2024,5,-0.0012295922893407485,0.005402366001903417,0.8228381610161666,0.8281828182818282,-0.012682608213375994,0.010223423634694495,False,baseline_exposure_admin,4.47750058393763,0.1065916295936624,0.008274316797939836,0.009641100864150315
2025,6,-0.0023048347629662292,0.003657169152748628,0.537445852926755,0.5455545554555455,-0.01005803336679332,0.005448363840860863,False,baseline_exposure_admin,4.47750058393763,0.1065916295936624,0.008274316797939836,0.009641100864150315
