year,coef,se,ci_low,ci_high,pval,pval_wbt
2017,467.5874486200067,283.0635835821056,-139.52355728120205,1074.6984545212154,0.09855874498147549,0.33463346334633465
2018,516.0149352771556,221.4757488087999,40.99669753541417,991.0331730188971,0.01981177404145355,0.06950695069506951
2019,0.0,0.0,0.0,0.0,,
2021,240.48441163220875,318.02076079610885,-441.60228260477766,922.5711058691952,0.449534736085874,0.37273727372737275
2022,61.9600411610521,285.18006864556116,-549.690373729433,673.6104560515372,0.8280007561659519,0.5208520852085209
2023,-208.30547963214104,302.70099963898855,-857.5345540772557,440.9235948129736,0.4913546099977285,0.9321932193219322
2024,-409.81132438259647,237.59824065027274,-919.4088680019922,99.78621923679935,0.08456209615435185,0.8251825182518252
2025,-506.6291902354119,287.67457488084466,-1123.6297888922609,110.3714084214372,0.07821824582832716,0.30643064306430645
