year,rel_year,coef,se,pval_crv1,pval_wbt,ci_low,ci_high,pre_period,pretrend_wald_stat,pretrend_wald_p
2017,-2,0.006105466495932023,0.004174079116338181,0.16563234980086716,0.16501650165016502,-0.0027435812307049206,0.014954514222568967,True,2.1397324140315166,0.3430544126220321
2018,-1,-0.0015917720748488279,0.0027697575495309597,0.5746155909403445,0.6036603660366037,-0.007463658079854462,0.004280113930156807,True,2.1397324140315166,0.3430544126220321
2019,0,0.0,0.0,,,0.0,0.0,True,2.1397324140315166,0.3430544126220321
2021,2,0.008538768412976442,0.002860112425303741,0.009830616166400574,0.0536053605360536,0.0024753300713325098,0.014602206754620373,False,2.1397324140315166,0.3430544126220321
2022,3,0.009173211923548379,0.002464642099738812,0.0022763599063133633,0.0447044704470447,0.003948170672102098,0.014398253174994661,False,2.1397324140315166,0.3430544126220321
2023,4,0.00997570406285088,0.004051209162106732,0.02738228741625437,0.15191519151915192,0.0013871406391846083,0.01856426748651715,False,2.1397324140315166,0.3430544126220321
2024,5,0.004930110261959815,0.003290235594122573,0.15623419637535774,0.25702570257025703,-0.00204518919758004,0.01190540972149967,False,2.1397324140315166,0.3430544126220321
2025,6,0.007061440989015275,0.00381777293176338,0.08558894003618445,0.2751275127512751,-0.0010322376263230924,0.015155119604353642,False,2.1397324140315166,0.3430544126220321
