year,rel_year,coef,se,pval_crv1,pval_wbt,ci_low,ci_high,pre_period,model,pretrend_wald_stat,pretrend_wald_p,lead_mean,lead_max_abs
2017,-2,-0.4808508671108664,0.0031170183321162902,0.0,0.0,-0.48745894597495293,-0.47424278824677985,True,region_trends,23798.096196890107,0.0,-0.3634129723219168,0.4808508671108664
2018,-1,-0.24597507753296727,0.003201670959369128,0.0,0.0,-0.2527626199668298,-0.2391875350991047,True,region_trends,23798.096196890107,0.0,-0.3634129723219168,0.4808508671108664
2019,0,0.0,0.0,,,0.0,0.0,True,region_trends,23798.096196890107,0.0,-0.3634129723219168,0.4808508671108664
2021,2,0.4896611710598026,0.00209825071781029,0.0,0.0,0.4852128795380448,0.4941094625815604,False,region_trends,23798.096196890107,0.0,-0.3634129723219168,0.4808508671108664
2022,3,0.7343849341889706,0.0029572913552850743,0.0,0.0,0.7281154765157662,0.7406543918621749,False,region_trends,23798.096196890107,0.0,-0.3634129723219168,0.4808508671108664
2023,4,0.9771376777552969,0.00388104051233054,0.0,0.0,0.9689098718691562,0.9853654836414376,False,region_trends,23798.096196890107,0.0,-0.3634129723219168,0.4808508671108664
2024,5,1.2155728276480744,0.0055960166972697685,0.0,0.0,1.2037092722498626,1.2274363830462862,False,region_trends,23798.096196890107,0.0,-0.3634129723219168,0.4808508671108664
2025,6,1.461346087653046,0.007092582393660322,0.0,0.0,1.4463098129784862,1.4763823623276058,False,region_trends,23798.096196890107,0.0,-0.3634129723219168,0.4808508671108664
