year,rel_year,coef,se,pval_crv1,pval_wbt,ci_low,ci_high,pre_period,pretrend_wald_stat,pretrend_wald_p
2017,-2,0.02790484842261771,0.004682114575283437,1.9983330485473516e-05,1.0,0.017978765523016825,0.0378309313222186,True,37.1370522881234,8.6256445700519e-09
2018,-1,0.014929835110163646,0.004869242388287694,0.007385046523591843,0.0,0.0046070412469937354,0.02525262897333356,True,37.1370522881234,8.6256445700519e-09
2019,0,0.0,0.0,,,0.0,0.0,True,37.1370522881234,8.6256445700519e-09
2021,2,-0.016570210493129588,0.005455571306042612,0.007844215336068272,0.0,-0.028136021661939924,-0.00500439932431925,False,37.1370522881234,8.6256445700519e-09
2022,3,-0.02613887746166716,0.004408791308274443,2.1197017005203378e-05,1.0,-0.035485515035208984,-0.01679223988812534,False,37.1370522881234,8.6256445700519e-09
2023,4,-0.03423709600905698,0.004006503419381687,2.332865856047306e-07,0.0,-0.042730883258146155,-0.025743308759967803,False,37.1370522881234,8.6256445700519e-09
2024,5,-0.04433582063614827,0.004296629900209602,1.7720494627226913e-08,1.0,-0.05344467602459263,-0.03522696524770391,False,37.1370522881234,8.6256445700519e-09
2025,6,-0.052989035228910526,0.003422839551448758,4.7551740323115155e-11,1.0,-0.060245455077981895,-0.04573261537983916,False,37.1370522881234,8.6256445700519e-09
