outcome,coef,se,ci_low,ci_high,pval_cluster,pval_wbt,n_obs,n_clusters,r_squared,interpretation
matdep,-0.004641205340640384,0.003203394115402843,-0.011511802395510631,0.0022293917142298635,0.14738228678497395,0.3126312631263126,39542,15,0.0073150600246145725,"PASS — placebo insignificant, parallel trends supported"
poverty,-0.006676319272158329,0.004413284138422813,-0.01614187234224637,0.0027892337979297157,0.13033605197565995,0.1542154215421542,39542,15,0.04217244764249983,"PASS — placebo insignificant, parallel trends supported"
income_net_annual,-462.56079241195096,302.4244883301883,-1111.196809082892,186.07522425899015,0.12613846060952122,0.18251825182518253,39542,15,0.1921525926768346,"PASS — placebo insignificant, parallel trends supported"
